The Acronyms,,,,,,Acronyms,,,,,,,,,"Acronyms, Dictionary, abbreviations",,,,,http://acronyms.thefreedictionary.com/,,,,,"Acronyms, Dictionary, abbreviations",,,,,,,,,,,
Medical Abbreviations Dictionary,,,,,,Acronyms,,,,,,,,,Medical Abbreviations Dictionary,,,,,http://www.medilexicon.com/medicalabbreviations.php,,,,,Medical Abbreviations Dictionary,,,,,,,,,,,"Search through our database of over 200,000 medical, biotech, pharma and healthcare acronyms abbreviations"
