Copyright act - India 1957,,,,,,Copy right ,,,,,,,,,Copyright act,,,,,http://copyright.gov.in/Documents/CopyrightRules1957.pdf,,,,,Copyright act
A HAND BOOK OF COPYRIGHT LAW,,,,,,Copy right ,,,,,,,,,Copyright act,,,,,http://education.nic.in/copyright.asp,,,,,Copyright act
