Bsnl Telephone Directory,,,BSNL,2011,,,,English,India,,,bsnl.jpg,,,,,,,,http://www.bsnl.co.in/onlinedirectory.htm,BSNL,,,,"Telephone Directory, Directory, Bsnal Telephone Directory, BSNL",,,Year,,,,,,,,,,,,India
Yellow Pges Directory,,,Yellow Pages,2011,,,,English,India,,,yellowpages.jpg,,,,,,,,http://www.indiacom.com/yellowpage/telephonedirectories.asp ,Yellow Pages,,,,"Telephone Directory, Directory, Yello Pages Telephone Directory, Yello Pages",,,Year,,,,,,,,,,,,India
National Portal Of India Diectory,,,National Portal Of India,2011,,,,English,India,,,india_portal.jpg,,,,,,,,http://india.gov.in/directories.php,National Portal Of India,,,,"Telephone Directory, Directory, National Portal Of India Telephone Directory, National Portal Of India",,,Year,,,,,,,,,,,,India
