Sandesh,,,Sandesh,,,,,Gujarati,India,,Sandesh Gujarati News paper,sandesh.JPG,,,,,,,,http://www.sandesh.com,,,,,"News, News Paper, Sandesh, Gujarati News Paper",Good,,Daily,,,,,Sandesh,,,,,,,India,Gujarat
Gujarat Samachar,,,Gujarat Samachar,,,,,Gujarati,India,,Gujarat Samachar Gijarati News Paper,gujaratsamachar.JPG,,,,,,,,http://www.gujaratsamachar.com,,,,,"News, News Paper, Gujarat Samachar, Gujarati News Paper",Good,,Daily,,,,,Gujarat Samachar,,,,,,,India,Gujarat
Divya Bhaskar,,,DivyaBhaskar,,,,,Gujarati,India,,Divya Bhaskar Gujarati News Paper,divyabhaskar.JPG,,,,,,,,http://www.divyabhaskar.co.in,,,,,"News, News Paper, Divya Bhaskar, Gujarati News Paper",Good,,Daily,,,,,Divya Bhaskar,,,,,,,India,Gujarat
Times News,,,Times,,,,,English,India,,All Times News papers,timesofindia.jpg,,,,,,,,http://epaper.timesofindia.com/index.asp,,,,,"News, News Paper, Times of india, The Economic Times,Mirror, English News Paper",Good,,Daily,,,,,Times,,,,,,,India,Gujarat
The Hindu,,,The Hindu,,,,,English,India,,The Hindu English News paper,thehindu.jpg,,,,,,,, http://www.thehindu.com/,,,,,"News, News Paper, The Hindu, English News Paper",Good,,Daily,,,,,The Hindu,,,,,,,India,Gujarat
