Google Maps,,,Google,,,,,English,,,Google Online maps,map.jpg,,,,,,,,http://maps.google.co.in/,,,,,"Google Maps, Online maps, Maps, Live Maps, World map",Good
Wikimapia,,,Wiki,,,,,English,,,Wiki Online maps,map.jpg,,,,,,,,http://wikimapia.org/#lat=23.0333&lon=72.6167&z=10&l=0&m=b,,,,,"Wikimapia, Online maps, Maps, Live Maps, World Map",Good
Yahoo Maps,,,Yahoo,,,,,English,,,Yahoo Online Maps,map.jpg,,,,,,,,http://in.maps.yahoo.com/#?lat=22.1874050&lon=77.9589844&z=14,,,,,"Yahoo Maps, Online maps, Maps, Live Maps, World Map",Good
Maps Of india,,,,,,,,English,,,Indian maps,map.jpg,,,,,,,,http://www.mapsofindia.com/,,,,,"India Maps, Online maps, Maps, Live Maps",
