"Great Expectations",,,,,685,,,"English",,823,,,,"Charles Dickens","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Great-Expectations.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Grimm's Fairy Tales",,,,,373,,,"English",,823,,,,"Brothers Grimm","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Grimms-Fairy-Tales-2.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Gulliver's Travels",,,,,383,,,"English",,823,,,,"Jonathan Swift","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Gulliver%27s-Travels.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Heart of Darkness",,,,,131,,,"English",,823,,,,"Joseph Conrad","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Heart-of-Darkness.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Jane Eyre",,,,,691,,,"English",,823,,,,"Charlotte Brontë","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Jane-Eyre.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Kidnapped",,,,,299,,,"English",,823,,,,"Robert Louis Stevenson","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Kidnapped.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Lady Chatterly’s Lover",,,,,447,,,"English",,823,,,,"D. H. Lawrence","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Lady-Chatterly%27s-Lover.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Les Miserables",,,,,2453,,,"English",,823,,,,"Victor Hugo","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Les-Miserables.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Little Women",,,,,684,,,"English",,823,,,,"Louisa May Alcott","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Little-Women.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Madame Bovary ",,,,,457,,,"English",,823,,,,"Gustave Flaubert","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Madame-Bovary.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Middlemarch",,,,,1193,,,"English",,823,,,,"George Eliot","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Middlemarch.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Moby Dick",,,,,861,,,"English",,823,,,,"Herman Melville","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Moby-Dick.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Northanger Abbey ",,,,,288,,,"English",,823,,,,"Jane Austen","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Northanger-Abbey.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Nostromo: A Tale of the Seaboard",,,,,627,,,"English",,823,,,,"Joseph Conrad,","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Nostromo-A-Tale-of-the-Seaboard.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Notes from the Underground",,,,,167,,,"English",,823,,,,"Fyodor Dostoevsky","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Notes-from-the-Underground.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Of Human Bondage",,,,,1009,,,"English",,823,,,,"W. Somerset Maugham","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Of-Human-Bondage.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Oliver Twist",,,,,641,,,"English",,823,,,,"Charles Dickens","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Oliver-Twist.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Paradise Lost",,,,,375,,,"English",,823,,,,"John Milton","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Paradise-Lost.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Persuasion ",,,,,304,,,"English",,823,,,,"Jane Austen","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Persuasion.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Pollyanna ",,,,,243,,,"English",,823,,,,"Eleanor H. Porter","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Pollyanna.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Pride and Prejudice",,,,,479,,,"English",,823,,,,"Jane Austen","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Pride-and-Prejudice.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Robinson Crusoe",,,,,393,,,"English",,823,,,,"Daniel Defoe","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Robinson-Crusoe.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Sense and Sensibility",,,,,459,,,"English",,823,,,,"Jane Austen","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Sense-and-Sensibility.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Sons and Lovers",,,,,641,,,"English",,823,,,,"D. H. Lawrence","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Sons-and-Lovers.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
"Swanns Way ",,,,,1280,,,"English",,823,,,,"Marcel Proust","English Stories><Fiction",,,,,"http://www.planetebook.com/ebooks/Swanns-Way.pdf",,,,,"English Story, Short Stories, Fiction",,,,,,,,,,"5-9",,,,,,,,,,,,,,,
