"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"MICROSOFT WINDOWS 2000 ACTIVE DIRECTORY SERVIES",,,"MICROSOFT PRESS",0,0,"3G",,,,,,,"JILL SPEALMAN",,"3G105",,0,"59.99 Doller",,,,,,,
"THE CONCISE SANSKRIT ENGLISH DICTIONARY",,,"MOTILAL BANARSIDASS",1950,0,"6F",,,,,,,"VASUDEO GOVIND APTE",,"6F68",,0,50,,,,,,,
"WONDERLAND MAHABALESHWAR",,,"MAHABALESHWAR TIMES PUBLICATION",1998,0,"5D",,,,,,,"DILIP SARDA",,"5D271",,0,0,,,,,,,
"THE GOD OF ALL",,,"BHAGAWAN SRI BALA SAIBABA BOOK TRUST",1994,0,"16C",,,,,,,"CHINTALA SREENIVAS",,"16C99",,0,20,,,,,,,
"one day wonders",,,"rupa and co.",0,0,"3F",,,,,,,"sunil gavaskar",,"3F94",,0,20,,,,,,,
"MAHATMA GANDHI",,," ",0,0,"1D",,,,,,,"RABINDRANATH TAGORE",,"1D62",,0,0,,,,,,,
"MY LIFE ITS LEGACY AND MESSAGE",,,"YUGTIRTH SHANTIKUNJ",1996,0,"14F",,,,,,,"SHRIRAM SHARMA ACHARYA",,"14F636",,0,50,,,,,,,
"COLOURFUL RAJASTHAN FOR ALL SEASOUNS",,," ",0,0,"5C",,,,,,," ",,"5C24",,0,0,,,,,,,
"SRIMAD BHAGAVATAM SEVENTH CANTO",,,"THE BHAKTIVEDANTA BOOK TRUST",1976,3,"15C",,,,,,,"A. C. BHAKTIVEDANTA SWAMI PRABHUPADA",,"15C57",,0,0,,,,,,,
"LIGHT OF BHAGAVATA",,,"THE BHAKTIVEDANTA BOOK TRUST",1997,0,"15D",,,,,,,"A. C. BHAKTIVEDANTA SWAMI PRABHUPADA",,"15D5",,0,0,,,,,,,
"ACUPRESSURE KEY TO GOOD HEALTH",,," ",1996,0,"8F",,,,,,,"MRS. RAMA VENKATARAMAN",,"8F87",,0,0,,,,,,,
"BOMBAY A TO Z",,,"KARMARKAR CENTERPRISES",1986,0,"5D",,,,,,," ",,"5D293",,0,35,,,,,,,
"world cup cricket 1983",,," ",1983,0,"3F",,,,,,," ",,"3F109",,0,0,,,,,,,
"HOPE OF HUMANITY",,,"SAT VICHAR DARSHAN",1996,0,"16B",,,,,,," ",,"16B53",,0,20,,,,,,,
"ETERNAL CELEBRATION",,,"DIAMOND POCKET BOOKS [P] LTD",0,0,"21A",,,,,,,"OSHO",,"21A55",,0,12,,,,,,,
"THE ATLAS OF INDIAN STATES",,,"TT. MAPS AND PUBLICATIONS LTD.",1993,0,"5C",,,,,,,"S MUTHIAH",,"5C180",,0,50,,,,,,,
"THE SECRET OF ETERNAL YOUTH",,,"SRI YOGA VEDANTA SEVA SAMITI",0,0,"15E",,,,,,," ",,"15E139",,0,6,,,,,,,
"AN AUTOBIOGRAPHY",,,"NAVAJIVAN PUBLISHING HOUSE",1958,0,"1D",,,,,,,"M.K.GANDHI",,"1D73",,0,2,,,,,,,
"SHREE BALASAI BABA UNIQUE LOVE",,,"BHAGAWAN SRI BALA SAIBABA BOOK TRUST",2001,0,"16C",,,,,,,"regine h. wolke",,"16C100",,0,0,,,,,,,
"CELEBRATING SILENCE",,,"jaico publishing house",2005,0,"21B",,,,,,,"SRI SRI RAVI SHANKAR",,"21B77",,0,125,,,,,,,
"INCREASE YOUR HIGHT",,,"pustak mahal",1996,0,"7A",,,,,,,"KRISHNA GOPAL VIKAKL",,"7A24",,0,60,,,,,,,
"FOUR SEASONS",,,"BAJAJ ELECTRICALS LIMITED",0,0,"8I",,,,,,," ",,"8I149",,0,0,,,,,,,
"LIFE COMES FROM LIFE",,,"THE BHAKTIVEDANTA BOOK TRUST",1998,0,"15D",,,,,,,"A. C. BHAKTIVEDANTA SWAMI PRABHUPADA",,"15D4",,0,0,,,,,,,
"LADAKH AND LAHAUL SPITI",,," ",0,0,"5D",,,,,,," ",,"5D309",,0,0,,,,,,,
"MODERN ENGLISH PATHMALA",,,"NAVSARJAN PUBLICATION",1994,3,"6G",,,,,,,"DR. M. R. PANCHAL",,"6G26",,0,40,,,,,,,
"AN INTIMATE NOTE TO THE SINCERE SEEKER",,,"THE ART OF LIVING FOUNDATION",1997,2,"21B",,,,,,,"SRI SRI RAVI SHANKAR",,"21B73",,0,0,,,,,,,
"101 SCIENCE GAMES",,,"pustak mahal",1992,0,"7B",,,,,,,"IVAR UTIAL",,"7B30",,0,24,,,,,,,
"LONDON PICTORIAL GUIDE",,," ",0,0,"5C",,,,,,," ",,"5C78",,0,0,,,,,,,
"ENGLISH DICTIONARY",,,"macmillan india lyd",2002,0,"6H",,,,,,,"F. R. WITTY",,"6H102",,0,0,,,,,,,
"YOGA FOR YOU",,,"jaico publishing house",0,0,"8B",,,,,,,"DR. P. S. VENKATESWARAN",,"8B36",,0,0,,,,,,,
"cricket almanac 1984 85",,,"official publication",1985,0,"3F",,,,,,," ",,"3F104",,0,"7.95 Doller",,,,,,,
"THE ALL NEW NUTRITIOUS COOK BOOK",,,"KARAN VARMA",2004,0,"8I",,,,,,," ",,"8I85",,0,0,,,,,,,
"GARLAND OF 108 PRECIOUS GEMS",,,"SRI SATHYA SAI BOOKS AND PUBLICATIONS TRUST",0,0,"16C",,,,,,," ",,"16C94",,0,11,,,,,,,
"ENGLISH SPEAKING COURSE AND LETTER DRAFTING",,,"h and c publishing house",2002,0,"6H",,,,,,,"N. MOOSAKUTTY",,"6H94",,0,10,,,,,,,
"TRADE PRICE LIST",,,"SHRI AYURVED SEVA SADAN",0,0,"8F",,,,,,," ",,"8F85",,0,0,,,,,,,
"YOUR SUN SIGNS",,," ",0,0,"10C",,,,,,,"RUSSELL GRANT",,"10C107",,0,"2.95 F",,,,,,,
"BHAJANAMAVALI",,,"MRS. MADHU AND NIRANJAN PATEL",0,0,"16C",,,,,,," ",,"16C129",,0,0,,,,,,,
"DIVINE MEMORIES OF SATHYA SAI BABA",,,"SRI SATHYA SAI BOOKS AND PUBLICATIONS TRUST",0,0,"16C",,,,,,,"DIANA BASKIN",,"16C130",,0,30,,,,,,,
"MAGIC MAGIC",,,"H AND G PUBLISHING HOUSE",0,0,"10C",,,,,,,"BIJO BALIKKULAM",,"10C67",,0,10,,,,,,,
"WORLD FAMOUS DISASTERS",,,"pustak mahal",1989,0,"7A",,,,,,,"MASTRAM KAPOOR",,"7A34",,0,30,,,,,,,
"compulsory computer book",,,"science olympiad foundation",0,5,"3G",,,,,,," ",,"3G83",,0,0,,,,,,,
