Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
On Human Bondage,1,,Macmillan & Co.,,,BHET STR 666,English,,823,,,,Maugham W,Literature,BHET STR 666,,0,5.00,,,,,,,
The Adventure of Huckleberry Finn,1,,Orient Longman Ltd.,,,BHET STR 667,English,,823,,,,Twin Mark,Literature,BHET STR 667,,0,,,,,,,,
The King Vikram & The Ghost,1,,Jaico Publishing House,,,BHET STR 668,English,,823,,,,Tawney C H,Literature,BHET STR 668,,0,25.00,,,,,,,
Gal Young UN,1,,Bantan Books,,,BHET STR 669,English,,823,,,,Rowlings Marjorie,Literature,BHET STR 669,,0,,,,,,,,
Mustang,1,,Pyramid Books,,,BHET STR 670,English,,823,,,,Daly Kethleen,Literature,BHET STR 670,,0,,,,,,,,
Treasure Island,1,,Orient Longman Ltd.,,,BHET STR 671,English,,823,,,,Stevanson Robort,Literature,BHET STR 671,,0,,,,,,,,
Stories For Children 3,1,,Satya Sai Books,,,BHET STR 672,English,,823,,,,XYZ,Literature,BHET STR 672,,0,6.00,,,,,,,
Mordern Short Stories,1,,S.Chand & Co.,,,BHET STR 674,English,,823,,,,Paces S E,Literature,BHET STR 674,,0,7.50,,,,,,,
The Adventures of Don Quixote,1,,S.Chand & Co.,,,BHET STR 675,English,,823,,,,Paces S E,Literature,BHET STR 675,,0,10.00,,,,,,,
Six Detective Stories,1,,S.Chand & Co.,,,BHET STR 676,English,,823,,,,Paces S E,Literature,BHET STR 676,,0,12.50,,,,,,,
Maha Mala,1,,Navjivan Publishing House,,,BHET STR 678,English,,823,,,,Prabhu R K,Literature,BHET STR 678,,0,6.00,,,,,,,
Mother Teresa,1,,Pocket Books,,,BHET STR 679,English,,823,,,,Mother Teresa,Literature,BHET STR 679,,0,10.00,,,,,,,
Six Tales From Shakespeare,1,,Macmillan & Co.,,,BHST STR 662,English,,823,,,,Shakespeare William,Literature,BHST STR 662,,0,4.65,,,,,,,
Aavishakaro,1,,Parragon,,,SCI 1,Gujarati,,500,,,,GUJCOST,Literature,SCI 1,,0,90.00,,,,,,,
Brahmand,1,,Parragon,,,SCI 2,Gujarati,,500,,,,GUJCOST,Literature,SCI 2,,0,90.00,,,,,,,
Dynasor ni Duniya,1,,Parragon,,,SCI 3,Gujarati,,500,,,,GUJCOST,Literature,SCI 3,,0,90.00,,,,,,,
Vishwano Itihas,1,,Parragon,,,SCI 4,Gujarati,,500,,,,GUJCOST,Literature,SCI 4,,0,90.00,,,,,,,
Praakrutik Vishwa,1,,Parragon,,,SCI 5,Gujarati,,500,,,,GUJCOST,Literature,SCI 5,,0,90.00,,,,,,,
Vanaspti Jagat,1,,Parragon,,,SCI 6,Gujarati,,500,,,,GUJCOST,Literature,SCI 6,,0,90.00,,,,,,,
Praani Shrushti,1,,Parragon,,,SCI 7,Gujarati,,500,,,,GUJCOST,Literature,SCI 7,,0,90.00,,,,,,,
Vigyan,1,,Parragon,,,SCI 8,Gujarati,,500,,,,GUJCOST,Literature,SCI 8,,0,60.00,,,,,,,
Manav Shareer,1,,Parragon,,,SCI 9,Gujarati,,500,,,,GUJCOST,Literature,SCI 9,,0,90.00,,,,,,,
Pruthvi,1,,Parragon,,,SCI 10,Gujarati,,500,,,,GUJCOST,Literature,SCI 10,,0,90.00,,,,,,,
Vigyan Ane Technology Gyankosh,1,,Parragon,,,SCI 11,Gujarati,,500,,,,GUJCOST,Literature,SCI 11,,0,90.00,,,,,,,
Aaschryajanak Hakikato Gyankosh,1,,Parragon,,,SCI 12,Gujarati,,500,,,,GUJCOST,Literature,SCI 12,,0,90.00,,,,,,,
Visamaykaaraka Antarix,1,,Parragon,,,SCI 13,Gujarati,,500,,,,GUJCOST,Literature,SCI 13,,0,90.00,,,,,,,
Adbhoot Sawal ane Jawab Gyankosh,1,,Parragon,,,SCI 14,Gujarati,,500,,,,Gadhvi Kintu,Literature,SCI 14,,0,275.00,,,,,,,
Manav Shareer Gyankhso,1,,Parragon,,,SCI 15,Gujarati,,500,,,,GUJCOST,Literature,SCI 15,,0,275.00,,,,,,,
Vigyan ni Duniya,1,,Parragon,,,SCI 16,Gujarati,,500,,,,GUJCOST,Literature,SCI 16,,0,275.00,,,,,,,
Pruthvigrahno Gyankosh,1,,Parragon,,,SCI 17,Gujarati,,500,,,,GUJCOST,Literature,SCI 17,,0,275.00,,,,,,,
