"Title","edition","isbn_issn","publisher_id","publish_year","collation","series_title","call_number","language_id","publish_place_id","classification","notes","image ","file_att","authors","subjects","items","specific_detail","copies","price","url","supplier_id","subtitle","volumeno","serialno","keywords","bookreview","standards","frequency_id","Editor(s)","Producer","Director","Guide(s)","Publication","Publication Date","Academic Year","Abstract","Duration","Company","KeyActor/Actor","Country","State","City","Age Groups","Awards","College/Inst/Dept","University","Qualification","Journal/Serials","Index","Language 2"
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00045",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00046",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00047",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00048",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00049",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00050",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00051",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"ADVANCED STRENGTH OF MATERIALS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.11",,,,"RETHALIYA, R, P.","ME,","LJIT00052",,,"200",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MECHANICS OF SOLIDS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.105",,,,"RETHALIYA, R, P.","ME,","LJIT00053",,,"450",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
"MECHANICS OF SOLIDS",,,"ATUL PRAKASHAN ",2013,,,,"ENGLISH","AHMEDABAD","620.105",,,,"RETHALIYA, R, P.","ME,","LJIT00054",,,"450",,"UNIQUE BOOK STORE",,,,"ME,",,,,,,,,,,,,,,,,,,,,,,,,,
