"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"ANGELINA BALLERINA",,,"CHILDDREN S CHOICE BOOK CLUB",,,1948,,,,,,,"HELEN CRAIG",,"E2/1948",,0,"RS 70",,,,,,,
"PREP COURSE",,,"AMEX COMPANY LIMITED",,,1949,,,,,,,"GAYLE KOWALCHYK",,"E2/1949",,0,,,,,,,,
"KISS KISS",,,"SCHOLASTIC",,,1950,,,,,,,"MARGET WILD$BRIDGET STREVENS MARZO",,"E2/1950",,0,"RS60",,,,,,,
"CLIFFORD TO THE RESCUE",,,"SCHOLASTIC",,,1951,,,,,,,"NORMAN BRIDEWELL",,"E2/1951",,0,"US$ 3.99",,,,,,,
"POLITE AS A PRINCESS",,,"RANDOM HOUSE",,,1952,,,,,,,"MELISSA ARPS",,"E2/1952",,0,"US$3.59",,,,,,,
"FAMILY",,,"HEALTHY KIDS",,,1953,,,,,,,"CAROL A. JOHNSON",,"E2/1953",,0,"RS 50",,,,,,,
"WILLY NILLY",,,"STANDARD PUBLISHING COMPANY",,,1954,,,,,,,"MARIE LOUISE GAY",,"E2/1954",,0,"RS 60",,,,,,,
"HOW MANY HOW MANY",,,"CANDLEWICK PRESS",,,1955,,,,,,,"RICK WALTON",,"E2/1955",,0,"US$5.99",,,,,,,
"ICKY BUG COLOURS",,,"SCHOLASTIC",,,1956,,,,,,,"JERRY PALLOTTA",,"E2/1956",,0,"US$5.99",,,,,,,
"CINDERELLA",,,"PLAY MORE INC.",,,1957,,,,,,,,,"E2/1957",,0,,,,,,,,
"SAND CAKE",,,"PARENTS MAGAZINE PRESS",,,1958,,,,,,,,,"E2/1958",,0,,,,,,,,
"IM A BIG BROTHER",,,"MORROW JUNIOR BOOKS",,,1959,,,,,,,"JOANNA COLE",,"E2/1959",,0,"RS 50",,,,,,,
"I M WINNIE THE POOH",,,"GOLDEN BOOKS PUBLISHING CO.,",,,1960,,,,,,,"BETTY BIRNEY",,"E2/1960",,0,,,,,,,,
"JINGLE JANGLE",,,,,,1961,,,,,,,"BARRIE WADE",,"E2/1961",,0,,,,,,,,
"THE BED TIME BEAST",,,"RAINTREE CHILDRENS BOOKS",,,1962,,,,,,,"JAY HULBERT",,"E2/1962",,0,"RS 90",,,,,,,
"THE TEENY TINY GHOST",,,"SCHOLASTIC",,,1963,,,,,,,"KAY WINTERS",,"E2/1963",,0,,,,,,,,
"HAPPY BIRTHDAY BISCUIT",,,"HYPER COLLINS PUBLISHERS",,,1964,,,,,,,"ALYSSA SATIN CAPUCILLI",,"E2/1964",,0,"US$11.65",,,,,,,
"THINGS THAT GO",,,"GOLDEN BOOKS PUBLISHING CO.,",,,1966,,,,,,,"RICHARD SCARRY",,"E2/1966",,0,"RS40",,,,,,,
"THE DAY IT RAINED HEARTS",,,"SCHOLASTIC",,,1967,,,,,,,"FELICIA BOND",,"E2/1967",,0,"RS 50",,,,,,,
"OH BROTHER",,,"RANDOM HOUSE",,,1968,,,,,,,"TODD BRIGHT",,"E2/1968",,0,"US$3.99",,,,,,,
"MY DOG WILLY",,,"HOUGHTON MIFFLIN COMPANY",,,1969,,,,,,,"CATHERINE PETERS",,"E2/1969",,0,,,,,,,,
"JULIUS",,,"HYPER COLLINS PUBLISHERS",,,1970,,,,,,,"SYD HOFF",,"E2/1970",,0,,,,,,,,
"BEST FRIENDS",,,"SCHOLASTIC",,,1971,,,,,,,"QUINLAN B. LEE",,"E2/1971",,0,"RS 30",,,,,,,
"MY LOST TOOTH",,,"SCHOLASTIC",,,1972,,,,,,,"HANS WILHELM",,"E2/1972",,0,"US$3.99",,,,,,,
"THE WITCH GOES TO SCHOOL",,,"SCHOLASTIC",,,1973,,,,,,,"NORMAN BRIDWELL",,"E2/1973",,0,"RS 30",,,,,,,
"FIVE LITTLE MONKEYS",,,"SCHOLASTIC",,,1974,,,,,,,"EILEEN CHRISTELOW",,"E2/1974",,0,"RS 20",,,,,,,
"HARRY HATES SHOPPING",,,"SCHOLASTIC",,,1975,,,,,,,"RONDA AND DAVID ARMITAGE",,"E2/1975",,0,,,,,,,,
"ITCHY ITCHY CHICKEN POX",,,"SCHOLASTIC",,,1976,,,,,,,"GRACE MACCARONE",,"E2/1976",,0,,,,,,,,
"CURIOUS GEORGE GOES FISHING",,,"OCOPUS BOOKS LIMITED",,,1977,,,,,,,,,"E2/1977",,0,"US$ 3.99",,,,,,,
"RAIN FOREST",,,"SCHOLASTIC",,,1978,,,,,,,"ANN HARDY",,"E2/1978",,0,"RS 40",,,,,,,
"SHERMAN CAME FOR A VISIT",,,"MODERN PUBLISHING",,,1979,,,,,,,"SUSAN KOCHAN",,"E2/1979",,0,,,,,,,,
"WHERE S MY HUG",,,"SCHOLASTIC",,,1980,,,,,,,"AMY HEST",,"E2/1980",,0,,,,,,,,
"JUST A MESS",,,"RANDOM HOUSE",,,1981,,,,,,,"MERCER MAYER",,"E2/1981",,0,"RS 40",,,,,,,
"DORAS BACKPACK",,,"SIMON AND SCHUSTER SPOTLIGHT",,,1982,,,,,,,"ROBERT ROPER",,"E2/1982",,0,"US$ 3.99",,,,,,,
"TERRIFIC WAY TO HELP OUR WONDERFUL WORLD",,,"RANDOM HOUSE",,,1983,,,,,,,"ANNA ROSS",,"E2/1983",,0,"US$2.95",,,,,,,
"MOUSES FIRST SPRING",,,"SCHOLASTIC",,,1984,,,,,,,"LAUREN THOMPSON",,"E2/1984",,0,"RS 40",,,,,,,
"OWEN",,,"GRANDREAMS BOOKS LIMITED",,,1985,,,,,,,"KEVIN HENKES",,"E2/1985",,0,,,,,,,,
"DIZZY AND MUCK WORK IT OUT",,,"SCHOLASTIC",,,1986,,,,,,,,,"E2/1986",,0,,,,,,,,
"THE STORY DANIEL",,,"LANDOLL S INC.",,,1987,,,,,,,,,"E2/1987",,0,"RS 100",,,,,,,
"I LOVE YOU STINKY FACE",,,"TROLL ASSOCIATES",,,1988,,,,,,,"LISA MCCOURT",,"E2/1988",,0,"RS100",,,,,,,
