"Tittle","Edition","ISBN No","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"TINKLE DIGEST NO. 30",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8006,"ENGLISH",,"823/TIN",,,,,,8006,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 31",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8007,"ENGLISH",,"823/TIN",,,,,,8007,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 50",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8008,"ENGLISH",,"823/TIN",,,,,,8008,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 55",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8009,"ENGLISH",,"823/TIN",,,,,,8009,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 61",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8010,"ENGLISH",,"823/TIN",,,,,,8010,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 62",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8011,"ENGLISH",,"823/TIN",,,,,,8011,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 63",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8012,"ENGLISH",,"823/TIN",,,,,,8012,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 64",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8013,"ENGLISH",,"823/TIN",,,,,,8013,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 67",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8014,"ENGLISH",,"823/TIN",,,,,,8014,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 68",2012,9788184828290,"AMAR CHITRA KATHA",2012,,8015,"ENGLISH",,"823/TIN",,,,,,8015,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 69",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8016,"ENGLISH",,"823/TIN",,,,,,8016,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 70",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8017,"ENGLISH",,"823/TIN",,,,,,8017,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 71",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8018,"ENGLISH",,"823/TIN",,,,,,8018,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 72",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8019,"ENGLISH",,"823/TIN",,,,,,8019,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 73",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8020,"ENGLISH",,"823/TIN",,,,,,8020,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 74",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8021,"ENGLISH",,"823/TIN",,,,,,8021,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 75",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8022,"ENGLISH",,"823/TIN",,,,,,8022,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 84",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8023,"ENGLISH",,"823/TIN",,,,,,8023,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 95",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8024,"ENGLISH",,"823/TIN",,,,,,8024,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 96",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8025,"ENGLISH",,"823/TIN",,,,,,8025,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 111",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8026,"ENGLISH",,"823/TIN",,,,,,8026,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 126",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8027,"ENGLISH",,"823/TIN",,,,,,8027,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 129",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8028,"ENGLISH",,"823/TIN",,,,,,8028,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 130",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8029,"ENGLISH",,"823/TIN",,,,,,8029,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 131",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8030,"ENGLISH",,"823/TIN",,,,,,8030,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 132",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8031,"ENGLISH",,"823/TIN",,,,,,8031,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 133",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8032,"ENGLISH",,"823/TIN",,,,,,8032,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 134",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8033,"ENGLISH",,"823/TIN",,,,,,8033,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 135",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8034,"ENGLISH",,"823/TIN",,,,,,8034,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 136",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8035,"ENGLISH",,"823/TIN",,,,,,8035,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 141",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8036,"ENGLISH",,"823/TIN",,,,,,8036,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 147",2012,"NOT GIVEN","AMAR CHITRA KATHA",2012,,8037,"ENGLISH",,"823/TIN",,,,,,8037,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 148",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8038,"ENGLISH",,"823/TIN",,,,,,8038,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 173",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8039,"ENGLISH",,"823/TIN",,,,,,8039,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 174",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8040,"ENGLISH",,"823/TIN",,,,,,8040,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 177",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8041,"ENGLISH",,"823/TIN",,,,,,8041,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 180",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8042,"ENGLISH",,"823/TIN",,,,,,8042,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 183",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8043,"ENGLISH",,"823/TIN",,,,,,8043,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 186",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8044,"ENGLISH",,"823/TIN",,,,,,8044,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 188",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8045,"ENGLISH",,"823/TIN",,,,,,8045,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 189",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8046,"ENGLISH",,"823/TIN",,,,,,8046,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 193",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8047,"ENGLISH",,"823/TIN",,,,,,8047,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 214",2011,9788184827736,"AMAR CHITRA KATHA",2011,,8048,"ENGLISH",,"823/TIN",,,,,,8048,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 216",2012,9788184827750,"AMAR CHITRA KATHA",2012,,8049,"ENGLISH",,"823/TIN",,,,,,8049,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 217",2012,9788184827828,"AMAR CHITRA KATHA",2012,,8050,"ENGLISH",,"823/TIN",,,,,,8050,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 218",2012,9788184827835,"AMAR CHITRA KATHA",2012,,8051,"ENGLISH",,"823/TIN",,,,,,8051,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 220",2012,9788184827859,"AMAR CHITRA KATHA",2012,,8052,"ENGLISH",,"823/TIN",,,,,,8052,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 221",2012,9788184827866,"AMAR CHITRA KATHA",2012,,8053,"ENGLISH",,"823/TIN",,,,,,8053,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 228",2012,9788184827934,"AMAR CHITRA KATHA",2012,,8054,"ENGLISH",,"823/TIN",,,,,,8054,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 240",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8055,"ENGLISH",,"823/TIN",,,,,,8055,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 241",2012,9788184827040,"AMAR CHITRA KATHA",2012,,8056,"ENGLISH",,"823/TIN",,,,,,8056,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 242",2012,9788184827095,"AMAR CHITRA KATHA",2012,,8057,"ENGLISH",,"823/TIN",,,,,,8057,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 77",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8058,"ENGLISH",,"823/TIN",,,,,,8058,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 78",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8059,"ENGLISH",,"823/TIN",,,,,,8059,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 236",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8060,"ENGLISH",,"823/TIN",,,,,,8060,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 239",2011,"NOT GIVEN","AMAR CHITRA KATHA",2011,,8061,"ENGLISH",,"823/TIN",,,,,,8061,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 245",2012,9788184828061,"AMAR CHITRA KATHA",2012,,8062,"ENGLISH",,"823/TIN",,,,,,8062,,0,50,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 65",2012,9788184828276,"AMAR CHITRA KATHA",2012,,8063,"ENGLISH",,"823/TIN",,,,,,8063,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 66",2012,9788184829259,"AMAR CHITRA KATHA",2012,,8064,"ENGLISH",,"823/TIN",,,,,,8064,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 97",2012,9788184829433,"AMAR CHITRA KATHA",2012,,8065,"ENGLISH",,"823/TIN",,,,,,8065,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 98",2012,9788184829440,"AMAR CHITRA KATHA",2012,,8066,"ENGLISH",,"823/TIN",,,,,,8066,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 109",2012,9789350850046,"AMAR CHITRA KATHA",2012,,8067,"ENGLISH",,"823/TIN",,,,,,8067,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 187",2012,9789350850435,"AMAR CHITRA KATHA",2012,,8068,"ENGLISH",,"823/TIN",,,,,,8068,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 190",2012,9789350850466,"AMAR CHITRA KATHA",2012,,8069,"ENGLISH",,"823/TIN",,,,,,8069,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 191",2012,9789350850473,"AMAR CHITRA KATHA",2012,,8070,"ENGLISH",,"823/TIN",,,,,,8070,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 192",2012,9789350850480,"AMAR CHITRA KATHA",2012,,8071,"ENGLISH",,"823/TIN",,,,,,8071,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST NO. 246",2012,9788184829402,"AMAR CHITRA KATHA",2012,,8072,"ENGLISH",,"823/TIN",,,,,,8072,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"TINKLE DIGEST vol.12 NO. 5 185",2007,"NOT GIVEN","AMAR CHITRA KATHA",2007,,8073,"ENGLISH",,"823/TIN",,,,,,8073,,0,40,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"BHAGAWAT: THE KRISHNA AVATAR",2012,9788184822236,"AMAR CHITRA KATHA",2012,,8074,"ENGLISH",,"200/SAS",,,,,,8074,,0,350,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"MAHABHARAT: THE KURU PRINCES  1",2013,9788190599023,"AMAR CHITRA KATHA",2013,,8075,"ENGLISH",,"200/MAH",,,,,,8075,,0,666,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"MAHABHARAT: THE PANDAVAS IN EXILE 2",2013,9788190599030,"AMAR CHITRA KATHA",2013,,8076,"ENGLISH",,"200/MAH",,,,,,8076,,0,666,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"MAHABHARAT: ON THE BATTLEFIELD OF KURUKSHETRA 3",2013,9788190599047,"AMAR CHITRA KATHA",2013,,8077,"ENGLISH",,"200/MAH",,,,,,8077,,0,666,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"DEVOTEES AND DEMONS-I: FROM THE EPICS AND MYTHOLOGY OF INDIA",2010,9788184823523,"AMAR CHITRA KATHA",2010,,8078,"ENGLISH",,"200/DEV",,,,,,8078,,0,400,,"MARSHAL DISTRIBUTORS",,,"GOOD","RELIGION",
"BRAVE WARRIORS AND FIGHTERS",2011,9788184826173,"AMAR CHITRA KATHA",2011,,8079,"ENGLISH",,"920/BRA",,,,,,8079,,0,695,,"MARSHAL DISTRIBUTORS",,,"GOOD","FREEDOM FIGHTERS",
"TOP SCHOOL ESSAYS",2013,9788179638989,"SHREE",2013,,8080,"ENGLISH",,"824/SHA",,,,"SHAH PREMA & AGARWAL MINI & DIWAKAR LATHA","ENGLISH ESSAYS",8080,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"ESSENTIAL SCHOOL ESSAYS",2013,9788179638941,"SHREE",2013,,8081,"ENGLISH",,"824/SIN",,,,"SIGHT SIMI PARAMJEET","ENGLISH ESSAYS",8081,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"POPULAR SCHOOL ESSAYS",2013,9788179638965,"SHREE",2013,,8082,"ENGLISH",,"824/ESS",,,,,"ENGLISH ESSAYS",8082,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"SELECTED SCHOOL ESSAYS",2013,9788179638958,"SHREE",2013,,8083,"ENGLISH",,"824/SIN",,,,"SIGHT SIMI PARAMJEET","ENGLISH ESSAYS",8083,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"EXCLUSIVE SCHOOL ESSAYS",2012,9788184992809,"SHREE",2012,,8084,"ENGLISH",,"824/DAN",,,,"DANG MINI AGARWAL & SAINI PRIYANKA ANN & SHAH PREMLATA","ENGLISH ESSAYS",8084,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"THE INTELLECT BOOK OF ESSAYS",2013,9788184994537,"SHREE",2013,,8085,"ENGLISH",,"824/SRI",,,,"SRIMAHALAKSHMI V","ENGLISH ESSAYS",8085,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"THE BRAINY BOOK OF ESSAYS",2013,9788184994568,"SHREE",2013,,8086,"ENGLISH",,"824/NAI",,,,"NAIR ANURADHA","ENGLISH ESSAYS",8086,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"THE GENIUS BOOK OF ESSAYS",2013,9788184994001,"SHREE",2013,,8087,"ENGLISH",,"824/NAI",,,,"NAIR ANURADHA & SHRIKHANDE VEENA","ENGLISH ESSAYS",8087,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"THE WHIZ-KID BOOK OF ESSAYS",2013,9788184994544,"SHREE",2013,,8088,"ENGLISH",,"824/ESS",,,,,"ENGLISH ESSAYS",8088,,0,135,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"THE GREAT BOOK OF ESSAYS",2013,9788184994551,"SHREE",2013,,8089,"ENGLISH",,"824/SHA",,,,"SHAH PREMALATA ANGELA","ENGLISH ESSAYS",8089,,0,135,,"MARSHAL DISTRIBUTORS",,,"GOOD","LITERATURE",
"VEDIC MATHEMATICS FOR BEGINNERS: LEVEL 2 WORKBOOK",,9788184991031,"SHREE",,,8090,"ENGLISH",,"510/SIN",,,,"SINHA SANGEETA",,8090,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","MATHEMATICS",
"VEDIC MATHEMATICS FOR BEGINNERS: LEVEL 3 WORKBOOK",,9788184991048,"SHREE",,,8091,"ENGLISH",,"510/SIN",,,,"SINHA SANGEETA",,8091,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","MATHEMATICS",
"VEDIC MATHEMATICS FOR BEGINNERS: LEVEL 4 WORKBOOK",,9788184991055,"SHREE",,,8092,"ENGLISH",,"510/SIN",,,,"SINHA SANGEETA",,8092,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","MATHEMATICS",
"VEDIC MATHEMATICS FOR BEGINNERS: LEVEL 5 WORKBOOK",,9788184991062,"SHREE",,,8093,"ENGLISH",,"510/SIN",,,,"SINHA SANGEETA",,8093,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","MATHEMATICS",
"VEDIC MATHEMATICS FOR BEGINNERS: LEVEL 6 WORKBOOK",,9788184991079,"SHREE",,,8094,"ENGLISH",,"510/SIN",,,,"SINHA SANGEETA",,8094,,0,60,,"MARSHAL DISTRIBUTORS",,,"GOOD","MATHEMATICS",
"SHAKESPEAR FOR EVERYONE: THE TAMING OF THE SHREW",,9788179633540,"SHREE",,,8095,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8095,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: ANTONY AND CLEOPATRA",,9788179633533,"SHREE",,,8096,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8096,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: HENRY V",,9788179633434,"SHREE",,,8097,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8097,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: MUCH ADO ABOUT NOTHING",,9788179633496,"SHREE",,,8098,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8098,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: TWELFTH NIGHT",,9788179633564,"SHREE",,,8099,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8099,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: MACBETH",,9788179633465,"SHREE",,,8100,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8100,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: THE MERCHANT OF VENICE",,9788179633472,"SHREE",,,8101,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8101,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SHAKESPEAR FOR EVERYONE: A MIDSUMMER NIGHTS DREAM",,9788179633489,"SHREE",,,8102,"ENGLISH",,"823/SHA",,,,"SHAKESPEARE WILLIAM","ENGLISH",8102,,0,45,,"MARSHAL DISTRIBUTORS",,,"GOOD","STORY",
"SMART KIDS: PICTURE ATLAS",,9781849151894,"PRIDDY BOOKS(SHREE)",,,8103,"ENGLISH",,"912/PRI",,,,"PRIDDY ROGER",,8103,,0,399,,"MARSHAL DISTRIBUTORS",,,"GOOD","ATLAS",
"WERE STEGOSAURS CARNIVOURES? AN AMAZING DINOSAUR QUIZ BOOK",2012,9781409376460,"DK (SHREE)",2012,,8104,"ENGLISH",,"500/QUI",,,,,"QUIZ",8104,,0,225,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"IS A CAMEL A MAMMALS?AN AMAZING ANIMALS QUIZ BOOK",2012,9781409376453,"DK (SHREE)",2012,,8105,"ENGLISH",,"500/QUI",,,,,"QUIZ",8105,,0,225,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"WHAT GIVES AN OCEAN MOTION?AN AMAZING EARTH QUIZ BOOK",2012,9781409376477,"DK (SHREE)",2012,,8106,"ENGLISH",,"500/QUI",,,,,"QUIZ",8106,,0,225,,"MARSHAL DISTRIBUTORS",,,"GOOD","SCIENCE",
"QUICK REFERENCE BIOGRAPHIES OMNIBUS: GREAT WOMEN OF THE WORLD",2014,9788184997217,"SHREE",2014,,8107,"ENGLISH",,"920/QUI",,,,,,8107,,0,199,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHIES OMNIBUS: GREAT WOMEN OF INDIA",2010,9788184997163,"SHREE",2010,,8108,"ENGLISH",,"920/QUI",,,,,,8108,,0,160,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHIES OMNIBUS: GREAT BUSINESS PERSONALITIES OF INDIA",2014,9788184997170,"SHREE",2014,,8109,"ENGLISH",,"920/QUI",,,,,,8109,,0,199,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHIES OMNIBUS: GREAT ENTERTAINERS OF THE WORLD",2014,9788184997149,"SHREE",2014,,8110,"ENGLISH",,"920/QUI",,,,,,8110,,0,199,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: NIGHTS OF TERROR",2012,9789350491577,"SHREE",2012,,8111,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8111,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: STRIKE AHEAD",2012,9789350491546,"SHREE",2012,,8112,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8112,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: DEADLY MISSIONS",2012,9789350491539,"SHREE",2012,,8113,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8113,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: DARING DEVILS",2012,9789350491553,"SHREE",2012,,8114,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8114,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: BLAZING GUNS",2012,9789350491522,"SHREE",2012,,8115,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8115,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"THE GREAT INDIAN WAR HEROES: BATTLE ACTION",2012,9789350491560,"SHREE",2012,,8116,"ENGLISH",,"920/SAN",,,,"SANYAL SUBHOJIT","FREEDOM FIGHTER",8116,,0,125,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ABRAHAM LINCOLN A BIOGRAPHY OF A GREAT FREEDOM FIGHTER WHO INSPIRED MILLIONS.",,9788184990096,"SHREE",,,8117,"ENGLISH",,"920/QUI",,,,,"FREEDOM FIGHTER",8117,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
"QUICK REFERENCE BIOGRAPHY SERIES:ADOLF HITLER A BIOGRAPHY ",,9788184990331,"SHREE",,,8118,"ENGLISH",,"920/QUI",,,,,,8118,,0,35,,"MARSHAL DISTRIBUTORS",,,"GOOD","BIOGRAPHY",
