"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency",,,,,,
"LETS KNOW ABOUT EARTH","2003",,"UNICATE PUBLICATION","2004","GK","999","ENGLISH MEDIUM",,"EK 105",,,,"SHYAMA DUTTA","GK","999",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT RELIGIOUS OF THE WORLD","2003",,"UNICATE PUBLICATION","2004","GK","1000","ENGLISH MEDIUM",,"EK 106",,,,"SHYAMA DUTTA","GK","1000",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT WEAPONS OF WAR","2003",,"UNICATE PUBLICATION","2004","GK","1001","ENGLISH MEDIUM",,"EK 107",,,,"SHYAMA DUTTA","GK","1001",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT SOME PREHISTORIC ANIMALS","2003",,"UNICATE PUBLICATION","2004","GK","1002","ENGLISH MEDIUM",,"EK 111",,,,"SHYAMA DUTTA","GK","1002",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT CHEMISTRY","2003",,"UNICATE PUBLICATION","2004","GK","1003","ENGLISH MEDIUM",,"EK 108",,,,"SHYAMA DUTTA","GK","1003",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT DISASTERS","2003",,"UNICATE PUBLICATION","2004","GK","1005","ENGLISH MEDIUM",,"EK 112",,,,"SHYAMA DUTTA","GK","1005",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT VEICLES","2003",,"UNICATE PUBLICATION","2004","GK","1006","ENGLISH MEDIUM",,"EK 110",,,,"SHYAMA DUTTA","GK","1006",,,"$35.00",,,,,,,,,,,,,
"LETS KNOW ABOUT SEA-ANIMALS","2003",,"UNICATE PUBLICATION","2004","GK","1007","ENGLISH MEDIUM",,"EK 114",,,,"SHYAMA DUTTA","GK","1007",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF COLOURS","2003",,"UNICATE PUBLICATION","2004","GK","1008","ENGLISH MEDIUM",,"EK 115",,,,"SHYAMA DUTTA","GK","1008",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF TRANSPORTATION","2003",,"UNICATE PUBLICATION","2004","GK","1009","ENGLISH MEDIUM",,"EK 116",,,,"SHYAMA DUTTA","GK","1009",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF SEASONS","2003",,"UNICATE PUBLICATION","2004","GK","1010","ENGLISH MEDIUM",,"EK 117",,,,"SHYAMA DUTTA","GK","1010",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF TABLES","2003",,"UNICATE PUBLICATION","2004","GK","1011","ENGLISH MEDIUM",,"EK 118",,,,"SHYAMA DUTTA","GK","1011",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF REPTILES","2003",,"UNICATE PUBLICATION","2004","GK","1012","ENGLISH MEDIUM",,"EK 119",,,,"SHYAMA DUTTA","GK","1012",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF COMPUTERS","2003",,"UNICATE PUBLICATION","2004","GK","1013","ENGLISH MEDIUM",,"EK 120",,,,"SHYAMA DUTTA","GK","1013",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF MY HOUSE","2003",,"UNICATE PUBLICATION","2004","GK","1014","ENGLISH MEDIUM",,"EK 121",,,,"SHYAMA DUTTA","GK","1014",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF INSECTS","2003",,"UNICATE PUBLICATION","2004","GK","1015","ENGLISH MEDIUM",,"EK 122",,,,"SHYAMA DUTTA","GK","1015",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF FIGHTER PLANES","2003",,"UNICATE PUBLICATION","2004","GK","1016","ENGLISH MEDIUM",,"EK 123",,,,"SHYAMA DUTTA","GK","1016",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF RELIGIONS","2003",,"UNICATE PUBLICATION","2004","GK","1017","ENGLISH MEDIUM",,"EK 124",,,,"SHYAMA DUTTA","GK","1017",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF CRICKET","2003",,"UNICATE PUBLICATION","2004","GK","1018","ENGLISH MEDIUM",,"EK 125",,,,"SHYAMA DUTTA","GK","1018",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF FIRST AID","2003",,"UNICATE PUBLICATION","2004","GK","1019","ENGLISH MEDIUM",,"EK 126",,,,"SHYAMA DUTTA","GK","1019",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF GOOD MANNERS","2003",,"UNICATE PUBLICATION","2004","GK","1020","ENGLISH MEDIUM",,"EK 127",,,,"SHYAMA DUTTA","GK","1020",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF SPORTS","2003",,"UNICATE PUBLICATION","2004","GK","1022","ENGLISH MEDIUM",,"EK 129",,,,"SHYAMA DUTTA","GK","1022",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF BODY PARTS","2003",,"UNICATE PUBLICATION","2004","GK","1023","ENGLISH MEDIUM",,"EK 130",,,,"SHYAMA DUTTA","GK","1023",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF COUNTRIES AND THEIR FLAGS","2003",,"UNICATE PUBLICATION","2004","GK","1024","ENGLISH MEDIUM",,"EK 131",,,,"SHYAMA DUTTA","GK","1024",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF SHAPES","2003",,"UNICATE PUBLICATION","2004","GK","1025","ENGLISH MEDIUM",,"EK 132",,,,"SHYAMA DUTTA","GK","1025",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF WRONG RIGHT","2003",,"UNICATE PUBLICATION","2004","GK","1026","ENGLISH MEDIUM",,"EK 133",,,,"SHYAMA DUTTA","GK","1026",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF NUMBERS","2003",,"UNICATE PUBLICATION","2004","GK","1027","ENGLISH MEDIUM",,"EK 134",,,,"SHYAMA DUTTA","GK","1027",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF OPPOSITES","2003",,"UNICATE PUBLICATION","2004","GK","1028","ENGLISH MEDIUM",,"EK 135",,,,"SHYAMA DUTTA","GK","1028",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF ABC","2003",,"UNICATE PUBLICATION","2004","GK","1029","ENGLISH MEDIUM",,"EK 136",,,,"SHYAMA DUTTA","GK","1029",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF BIRDS","2003",,"UNICATE PUBLICATION","2004","GK","1030","ENGLISH MEDIUM",,"EK 137",,,,"SHYAMA DUTTA","GK","1030",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF TIME","2003",,"UNICATE PUBLICATION","2004","GK","1031","ENGLISH MEDIUM",,"EK 138",,,,"SHYAMA DUTTA","GK","1031",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF TREES","2003",,"UNICATE PUBLICATION","2004","GK","1032","ENGLISH MEDIUM",,"EK 139",,,,"SHYAMA DUTTA","GK","1032",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF WILD ANIMALS","2003",,"UNICATE PUBLICATION","2004","GK","1033","ENGLISH MEDIUM",,"EK 140",,,,"SHYAMA DUTTA","GK","1033",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF SHLOKAS","2003",,"UNICATE PUBLICATION","2004","GK","1034","ENGLISH MEDIUM",,"EK 141",,,,"SHYAMA DUTTA","GK","1034",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF MONUMENTS","2003",,"UNICATE PUBLICATION","2004","GK","1036","ENGLISH MEDIUM",,"EK 143",,,,"SHYAMA DUTTA","GK","1036",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF WORDS","2003",,"UNICATE PUBLICATION","2004","GK","1037","ENGLISH MEDIUM",,"EK 144",,,,"SHYAMA DUTTA","GK","1037",,,"$19.90",,,,,,,,,,,,,
"MY FIRST BOOK OF SOLAR SYSTEM","2002",,"UNICATE PUBLICATION","2004","GK","1039","ENGLISH MEDIUM",,"EK 146",,,,"SHYAMA DUTTA","GK","1039",,,"$19.00",,,,,,,,,,,,,
"MY FIRST LOOK OF INVENTIONS","2003",,"UNICATE PUBLICATION","2004","GK","1040","ENGLISH MEDIUM",,"EK 147",,,,"SHYAMA DUTTA","GK","1040",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF FRUITS","2003",,"UNICATE PUBLICATION","2004","GK","1041","ENGLISH MEDIUM",,"EK 148",,,,"SHYAMA DUTTA","GK","1041",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF FLOWERS","2003",,"UNICATE PUBLICATION","2004","GK","1042","ENGLISH MEDIUM",,"EK 149",,,,"SHYAMA DUTTA","GK","1042",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF YOGA","2003",,"UNICATE PUBLICATION","2004","GK","1043","ENGLISH MEDIUM",,"EK 150",,,,"SHYAMA DUTTA","GK","1043",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF PLANTS","2003",,"UNICATE PUBLICATION","2004","GK","1044","ENGLISH MEDIUM",,"EK 151",,,,"SHYAMA DUTTA","GK","1044",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF DOMESTIC ANIMALS","2003",,"UNICATE PUBLICATION","2004","GK","1045","ENGLISH MEDIUM",,"EK 152",,,,"SHYAMA DUTTA","GK","1045",,,"$19.90",,,,,,,,,,,,,
"MY FIRST LOOK OF VEGETABLES","2003",,"UNICATE PUBLICATION","2004","GK","1046","ENGLISH MEDIUM",,"EK 153",,,,"SHYAMA DUTTA","GK","1046",,,"$19.90",,,,,,,,,,,,,
"PREMCHANDRA GODAN","2003",,"SAHNI PUBLICATIONS","2004","HINDI","1047","ENGLISH MEDIUM",,"EEC 15",,,,"MUNSHI PREMCHANDRA","HINDI","1047",,,"$60.00",,,,,,,,,,,,,
"THE AMAZING FACTS PEOPLE AND PLACES","2003",,"PENTAGON PRESS","2004","SCIENCE","1054","ENGLISH MEDIUM","NEW DELHI","EFD 62",,,,,"SCIENCE","1054",,,"$100.00",,,,,,,,,,,,,
"AMAZING FACTS EARTH","2003",,"PENTAGON PRESS","2004","SCIENCE","1055","ENGLISH MEDIUM","NEW DELHI","EFD 63",,,,,"SCIENCE","1055",,,"$100.00",,,,,,,,,,,,,
"VIVEKANAND KI KAHANI","2004",,"THE INDIAN PRESS","2005","HINDI","1057","ENGLISH MEDIUM",,"EEC 16",,,,"FERIN RAI","HINDI","1057",,,"$25.00",,,,,,,,,,,,,
"SRI RAMKRISHNA KI KAHANI","2004",,"THE INDIAN PRESS","2005","HINDI","1058","ENGLISH MEDIUM",,"EEC 17",,,,"FERIN RAI","HINDI","1058",,,"$20.00",,,,,,,,,,,,,
"SWAMI VIVEKANAND","2004",,"THE INDIAN PRESS","2005","HINDI","1059","ENGLISH MEDIUM",,,,,,"FERIN RAI","HINDI","1059",,,"$15.00",,,,,,,,,,,,,
"SRI RAMKRISHNA CHITRAMALA","2004",,"THE INDIAN PRESS","2005","HINDI","1060","ENGLISH MEDIUM",,"EEC 18",,,,"FERIN RAI","HINDI","1060",,,"$25.00",,,,,,,,,,,,,
"THE AMAZING FACTS LIVING WORLD","2004",,"PENTAGON PRESS","2005","GK","1061","ENGLISH MEDIUM","NEW DELHI","EK 165",,,,,"GK","1061",,,"$100.00",,,,,,,,,,,,,
"SCIENCE",,,"PENTAGON PRESS","2005","STORY BOOK","1062","ENGLISH MEDIUM",,"EFD 65",,,,,"STORY BOOK","1062",,,"$100.00",,,,,,,,,,,,,
"THE AMAZING FACTS PEOPLE AND PLACES","2004",,"PENTAGON PRESS","2005","SCIENCE","1063","ENGLISH MEDIUM","NEW DELHI","EK 115",,,,,"SCIENCE","1063",,,"$100.00",,,,,,,,,,,,,
"THE AMAZING FACTS EARTH","2004",,"PENTAGON PRESS","2005","GK","1065","ENGLISH MEDIUM","NEW DELHI","EK 167",,,,,"GK","1065",,,"$100.00",,,,,,,,,,,,,
"THE AMEZING FACTS OCEAN","2004",,"PENTAGON PRESS","2005","SCIENCE","1066","ENGLISH MEDIUM","NEW DELHI","EK 166",,,,,"SCIENCE","1066",,,"$100.00",,,,,,,,,,,,,
"AMAZING UNIVERSE","2003",,"GROLIER","2005","SCIENCE","1067","ENGLISH MEDIUM",,"EFD 67",,,,,"SCIENCE","1067",,,"$100.00",,,,,,,,,,,,,
"GK WITH DEREK - HISTORY & GEOGRAPHY","2004",,"PENGUIN BOOKS INDIA","2005","GK","1068","ENGLISH MEDIUM",,"EK 159",,,,"DREK OBRIEN","GK","1068",,,"$0.00",,,,,,,,,,,,,
"GK WITH DEREK - SCENCE & WILDLIFE","2004",,"PENGUIN BOOKS INDIA","2005","GK","1070","ENGLISH MEDIUM",,"EK 161",,,,"DREK OBRIEN","GK","1070",,,"$0.00",,,,,,,,,,,,,
"GK WITH DEREK - INDIA","2004",,"PENGUIN BOOKS INDIA","2005","GK","1071","ENGLISH MEDIUM",,"EK 162",,,,"DREK OBRIEN","GK","1071",,,"$0.00",,,,,,,,,,,,,
"GK WITH DEREK - LITERATURE & MYTHOLIGY","2004",,"PENGUIN BOOKS INDIA","2005","GK","1072","ENGLISH MEDIUM",,"EK 163",,,,"DREK OBRIEN","GK","1072",,,"$0.00",,,,,,,,,,,,,
"GK WITH DEREK - SPORTS & CINEMA","2004",,"PENGUIN BOOKS INDIA","2005","GK","1073","ENGLISH MEDIUM",,"EK 164",,,,"DREK OBRIEN","GK","1073",,,"$0.00",,,,,,,,,,,,,
"WORLDS GREAT WAR SPEECHES","2004",,"BOOK PALACE","2005","OTHER","1074","ENGLISH MEDIUM",,"EKB 31",,,,"ABRAR MOHSIN","OTHER","1074",,,"$75.00",,,,,,,,,,,,,
"WORLDS GREAT 6 CLASSICS","2004",,"PENGUIN BOOKS INDIA","2005","CHILDREN LITERATURE","1075","ENGLISH MEDIUM",,"EEB 737",,,,"JAYANT GUPTA","CHILDREN LITERATURE","1075",,,"$60.00",,,,,,,,,,,,,
"VISHWA PRASIDDHA LOKKATHA","2004",,"MANOJ PUBLICATION","2005","HINDI","1076","ENGLISH MEDIUM",,"EEC 44",,,,,"HINDI","1076",,,"$30.00",,,,,,,,,,,,,
"JATAK KATHA - AMAR CHITRA KATHA","2004",,"MANOJ PUBLICATION","2005","HINDI","1077","ENGLISH MEDIUM",,"EEC 45",,,,"DHARAMPAL BARIA","HINDI","1077",,,"$80.00",,,,,,,,,,,,,
"KRISHNA & RUKMANI","2004",,"INDIA BOOK HOUSE","2005","CHILDREN LITERATURE","1084","ENGLISH MEDIUM",,"EEB 673",,,,"ANANT PAI","CHILDREN LITERATURE","1084",,,"$25.00",,,,,,,,,,,,,
"CHAND BIBI","2004",,"INDIA BOOK HOUSE","2005","CHILDREN LITERATURE","1086","ENGLISH MEDIUM","MUMBAI","EEB 675",,,,"ANANT PAI","CHILDREN LITERATURE","1086",,,"$25.00",,,,,,,,,,,,,
"ANANDA MATH","2004",,"INDIA BOOK HOUSE","2005","CHILDREN LITERATURE","1093","ENGLISH MEDIUM",,"EEB 682",,,,"ANANT PAI","CHILDREN LITERATURE","1093",,,"$25.00",,,,,,,,,,,,,
"SUBRAMANIA BHARATI",,,"AMAAR PRAKASHAN","2005","CHILDREN LITERATURE","1094","ENGLISH MEDIUM","PUNE","EEB 683",,,,,"CHILDREN LITERATURE","1094",,,"$25.00",,,,,,,,,,,,,
"BAPPA RAWAL","2004",,"INDIA BOOK HOUSE","2005","STORY BOOK","1097","ENGLISH MEDIUM","DELHI","EEB 686",,,,"ANANT PAI","STORY BOOK","1097",,,"$25.00",,,,,,,,,,,,,
"IDEAL STORY FOR KIDS 5","2003",,"ARORA BOOK COMPANY","2005","CHILDREN LITERATURE","1101","ENGLISH MEDIUM","NEW DELHI","EEB 690",,,,,"CHILDREN LITERATURE","1101",,,"$30.00",,,,,,,,,,,,,
"IDEAL STORY FOR KIDS",,,"ARORA BOOK COMPANY","2005","STORY BOOK","1102","ENGLISH MEDIUM","DELHI","EEB 691",,,,,"STORY BOOK","1102",,,"$30.00",,,,,,,,,,,,,
"TOM THUMB","2003",,"VRIDHI ENTERPRISES","2005","CHILDREN LITERATURE","1109","ENGLISH MEDIUM","LUDHIANA","EEB 698",,,,,"CHILDREN LITERATURE","1109",,,"$17.00",,,,,,,,,,,,,
"MODEL CREATION-3","2004",,"BLOSSOMS","2005","ACADEMIC","1111","ENGLISH MEDIUM",,"EH 43",,,,,"ACADEMIC","1111",,,"$40.00",,,,,,,,,,,,,
"MODEL CREATION-1","2004",,"BLOSSOMS","2005","ACADEMIC","1112","ENGLISH MEDIUM",,"EH 44",,,,,"ACADEMIC","1112",,,"$40.00",,,,,,,,,,,,,
"NON VERBAL RESONING","2002",,"S.CHAND & COMPANY","2005","GRAMMER","1113","ENGLISH MEDIUM","NEW DELHI","EFA 44",,,,"R.S.AGARWAL","GRAMMER","1113",,,"$80.00",,,,,,,,,,,,,
"HISTORY ENCYCLOPEDIA","2004",,"NATIONAL BOOK CENTRE","2005","GK","1114","ENGLISH MEDIUM","CHENNAI","EK 169",,,,,"GK","1114",,,"$895.00",,,,,,,,,,,,,
"CHICKEN SOUP FOR THE FATHERS SOUL","2004",,"NATIONAL BOOK CENTRE","2005","OTHER","1115","ENGLISH MEDIUM",,"EKB 30",,,,"JACK CANFIELD","OTHER","1115",,,"$225.00",,,,,,,,,,,,,
"LAVA AND KUSHA","2004",,"SAGAR BOOK SUPPLIERS","2005","STORY BOOK","1116","ENGLISH MEDIUM","CHENNAI","EEB 700",,,,"P.S.SUNDARAM","STORY BOOK","1116",,,"$45.00",,,,,,,,,,,,,
"INVINCIBLE PRAHLAD","2004",,"SAGAR BOOK SUPPLIERS","2005","STORY BOOK","1117","ENGLISH MEDIUM","CHENNAI","EEB 701",,,,"RAJEE RAMAN","STORY BOOK","1117",,,"$45.00",,,,,,,,,,,,,
"NAITIK BAL KATHA-1","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1118","ENGLISH MEDIUM",,"EEC 19",,,,"RENU JANOT","HINDI","1118",,,"$30.00",,,,,,,,,,,,,
"NAITIK BAL KATHA-2",,,"ARORA BOOK COMPANY","2005","HINDI","1119","ENGLISH MEDIUM","DELHI","EEC 20",,,,,"HINDI","1119",,,"$30.00",,,,,,,,,,,,,
"NAITIK BAL KATHA-3","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1120","ENGLISH MEDIUM",,"EEC 21",,,,"RENU JANOT","HINDI","1120",,,"$30.00",,,,,,,,,,,,,
"NAITIK BAL KATHA-4","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1121","ENGLISH MEDIUM",,"EEC 22",,,,"RENU JANOT","HINDI","1121",,,"$30.00",,,,,,,,,,,,,
"CHATPATI KAHANIYA","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1122","ENGLISH MEDIUM",,"EEC 23",,,,"DR RABAB S JETI","HINDI","1122",,,"$20.00",,,,,,,,,,,,,
"CHATPATI KAHANIYA","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1123","ENGLISH MEDIUM",,"EEC 24",,,,"DR RABAB S JETI","HINDI","1123",,,"$20.00",,,,,,,,,,,,,
"CHATPATI KAHANIYA","2004",,"SAGAR BOOK SUPPLIERS","2005","HINDI","1124","ENGLISH MEDIUM",,"EEC 25",,,,"DR RABAB S JETI","HINDI","1124",,,"$20.00",,,,,,,,,,,,,
"PATTERN BOOK",,,,"2005","CHILDREN LITERATURE","1128","ENGLISH MEDIUM",,"EEB 705",,,,,"CHILDREN LITERATURE","1128",,,"$17.00",,,,,,,,,,,,,
"THIS IS RAJASTHAN","2003",,"NATIONAL BOOK CENTRE","2005","CHILDREN LITERATURE","1130","ENGLISH MEDIUM","DELHI","EEB 707",,,,"S.SEN ROY","CHILDREN LITERATURE","1130",,,"$12.00",,,,,,,,,,,,,
"THE SUN FAIRIES",,,"NATIONAL BOOK CENTRE","2005","CHILDREN LITERATURE","1134","ENGLISH MEDIUM","NEW DELHI","EEB 711",,,,,"CHILDREN LITERATURE","1134",,,"$8.00",,,,,,,,,,,,,
"SHERA AND MITHU","2004",,"NATIONAL BOOK CENTRE","2005","CHILDREN LITERATURE","1136","ENGLISH MEDIUM","DELHI","EEB 713",,,,"MANORAMA JAFA","CHILDREN LITERATURE","1136",,,"$0.00",,,,,,,,,,,,,
"MY ROBOT ROBBI","2004",,"NATIONAL BOOK CENTRE","2006","CHILDREN LITERATURE","1139","ENGLISH MEDIUM","DELHI","EEB 716",,,,"DILIP M. SALWI","CHILDREN LITERATURE","1139",,,"$10.00",,,,,,,,,,,,,
"HOMES","2004",,"NATIONAL BOOK TRUST","2005","CHILDREN LITERATURE","1142","ENGLISH MEDIUM",,"EEB 689",,,,,"CHILDREN LITERATURE","1142",,,"$12.00",,,,,,,,,,,,,
"SAVA SHER GEHU","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1145","ENGLISH MEDIUM",,"EEC 26",,,,"PREMCHANDRA","HINDI","1145",,,"$9.00",,,,,,,,,,,,,
"EK DIN…","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1146","ENGLISH MEDIUM",,"EEC 27",,,,"JAGDISH JOSHI","HINDI","1146",,,"$15.00",,,,,,,,,,,,,
"CHOTI SI EK LAHER","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1147","ENGLISH MEDIUM",,"EEC 28",,,,"SUMAN CHANDRAVARKAR","HINDI","1147",,,"$12.00",,,,,,,,,,,,,
"PINJARA","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1148","ENGLISH MEDIUM",,"EEC 29",,,,"DODVEER KOHLI","HINDI","1148",,,"$7.00",,,,,,,,,,,,,
"PAKKI DOSTI","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1149","ENGLISH MEDIUM",,"EEC 30",,,,"ENDRILA MITRA","HINDI","1149",,,"$15.00",,,,,,,,,,,,,
"JANGAL ME JIVAN","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1150","ENGLISH MEDIUM",,"EEC 31",,,,"JITRAY","HINDI","1150",,,"$9.00",,,,,,,,,,,,,
"HARIYALI AUR SAFAI","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1151","ENGLISH MEDIUM",,"EEC 32",,,,"J L REDDY","HINDI","1151",,,"$7.00",,,,,,,,,,,,,
"PAIDA KI MAHIMA","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1152","ENGLISH MEDIUM",,"EEC 33",,,,"RASKIN BOND","HINDI","1152",,,"$8.00",,,,,,,,,,,,,
"SAAP AUR HUM","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1154","ENGLISH MEDIUM",,"EEC 35",,,,"JAY WHITEKAR","HINDI","1154",,,"$10.00",,,,,,,,,,,,,
"ROHAT AUR NANDIYA","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1155","ENGLISH MEDIUM",,"EEC 36",,,,"KRISHNA CHAITANYA","HINDI","1155",,,"$10.00",,,,,,,,,,,,,
"SWAMI DAYANAND","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1156","ENGLISH MEDIUM",,"EEC 37",,,,"B K SINH","HINDI","1156",,,"$40.00",,,,,,,,,,,,,
"GANDHIJI","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1158","ENGLISH MEDIUM",,"EEC 39",,,,,"HINDI","1158",,,"$27.00",,,,,,,,,,,,,
"DIVASWAPNA","2002",,"NATIONAL BOOK CENTRE","2005","HINDI","1159","ENGLISH MEDIUM","NEW DELHI","EEC 40",,,,"GIJUBHAI BADHEKA","HINDI","1159",,,"$25.00",,,,,,,,,,,,,
"QUANTAM JAGAT KA RAHASYA","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1160","ENGLISH MEDIUM",,"EEC 41",,,,"RAJAT CHANDA","HINDI","1160",,,"$45.00",,,,,,,,,,,,,
"THE STRENGTH OF MONEY",,,"ARORA BOOK COMPANY","2008","CHILDREN LITERATURE","1173","ENGLISH MEDIUM","NEW DELHI","EEB 734",,,,,"CHILDREN LITERATURE","1173",,,"$0.00",,,,,,,,,,,,,
"THE ADVENTURES OF TOM THUMB","2003",,"ARORA BOOK COMPANY","2004","CHILDREN LITERATURE","1175","ENGLISH MEDIUM","DELHI","EEB 736",,,,,"CHILDREN LITERATURE","1175",,,"$17.00",,,,,,,,,,,,,
"PRINCE AHMED AND THE PRINCESS","2007",,"ARORA BOOK COMPANY","2008","CHILDREN LITERATURE","1182","ENGLISH MEDIUM","DELHI","EEB 743",,,,,"CHILDREN LITERATURE","1182",,,"$17.00",,,,,,,,,,,,,
"NETAJI SUBHASHCHANDRA BOSE","2004",,"SUMAN PRAKASHAN","2005","BIOGRAPHY","1190","ENGLISH MEDIUM",,"EB 46",,,,"VITHATDAS V DESAI","BIOGRAPHY","1190",,,"$15.00",,,,,,,,,,,,,
"MAHATMA GANDHI","2004",,"SUMAN PRAKASHAN","2005","BIOGRAPHY","1191","ENGLISH MEDIUM",,"EB 47",,,,"VITHATDAS V DESAI","BIOGRAPHY","1191",,,"$15.00",,,,,,,,,,,,,
"LOKMANYA BALGANGADHAR TILAK","2004",,"SUMAN PRAKASHAN","2005","BIOGRAPHY","1192","ENGLISH MEDIUM",,"EB 48",,,,"VITHATDAS V DESAI","BIOGRAPHY","1192",,,"$15.00",,,,,,,,,,,,,
"SARDAR VALLABHBHAI PATEL","2004",,"SUMAN PRAKASHAN","2005","BIOGRAPHY","1193","ENGLISH MEDIUM",,"EB 49",,,,"VITHATDAS V DESAI","BIOGRAPHY","1193",,,"$15.00",,,,,,,,,,,,,
"PANDIT JAWAHARLAL NEHRU","2004",,"SUMAN PRAKASHAN","2005","BIOGRAPHY","1194","ENGLISH MEDIUM",,"EB 50",,,,"VITHATDAS V DESAI","BIOGRAPHY","1194",,,"$15.00",,,,,,,,,,,,,
"ADARSH HINDI NIBANDHMALA","2002",,"ADARSH PRAKASHAN","2005","HINDI","1195","ENGLISH MEDIUM","AHAMEDABAD","EEC 42",,,,"M. K. MADRASI","HINDI","1195",,,"$50.00",,,,,,,,,,,,,
"DAIMOND NIBANDH & PATRA LEKHAN","2004",,"NATIONAL BOOK TRUST","2005","HINDI","1196","ENGLISH MEDIUM",,"EEC 43",,,,"RAJAT CHANDA","HINDI","1196",,,"$60.00",,,,,,,,,,,,,
"WEBSTERS INTERNATIONAL ENCYCLOPEDIA","2004",,"ASHISH BOOK CENTRE","2005","GK","1197","ENGLISH MEDIUM","DELHI","EK 170",,,,,"GK","1197",,,"$895.00",,,,,,,,,,,,,
"SWARANJALI","2004",,"SWARSADHANA MUSIC CLASSES","2005","GK","1198","ENGLISH MEDIUM",,"EK 175",,,,"SHUBHANGI MARATHE","GK","1198",,,"$40.00",,,,,,,,,,,,,
"GIJUBHAIS WONDERLAND 6","2004",,"AKSHARA PRAKASHAN","2005","CHILDREN LITERATURE","1204","ENGLISH MEDIUM","AHAMEDABAD","EEB 730",,,,"GIJUBHAI BADHEKA","CHILDREN LITERATURE","1204",,,"$50.00",,,,,,,,,,,,,
"GIJUBHAIS WONDERLAND 8","2005",,"AKSHARA PRAKASHAN","2005","CHILDREN LITERATURE","1206","ENGLISH MEDIUM","AHAMEDABAD","EEB 732",,,,"GIJUBHAI BADHEKA","CHILDREN LITERATURE","1206",,,"$50.00",,,,,,,,,,,,,
