"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"ADVANCED COMPILER DESIGN IMPLEMENTATION  ",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA  ","005.453  ",,"  ",,"MUCHNICK, S, S.  ","CE, IT,  ","LJIT00001",,0,"525  ",,"UNIQUE BOOK STORE",,"CE, IT,  ",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00002",,0,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00003",,0,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00004",,0,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00005",,0,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00006",,0,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00007",,0,"500",,"UNIQUE BOOK STORE",,"ME,",,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00008",,0,"500",,"UNIQUE BOOK STORE",,"ME,",,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,TITLE,","LJIT00009",,0,"560",,"UNIQUE BOOK STORE",,"ME,TITLE,",,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,","LJIT00010",,0,"560",,"UNIQUE BOOK STORE",,"ME,",,,
"MEN OF MATHEMATICS: THE LIVES AND ACHIEVEMENTS OF THE GREAT MATHEMATICIANS FROM ZENO T POINCARE",,,"SIMON AND SCHUSTER",1986,,,"ENGLISH","NEW YORK","510.922",,,,"BELL, E, T.","MATHS,","LJIT00011",,0,"499",,"UNIQUE BOOK STORE",,"MATHS,",,,
"FLUID MECHANICS: BASIC CONCEPTS AND PRINCIPLES",2,,"ANE BOOKS PVT LTD",2011,,,"ENGLISH","NEW DELHI","620.106",,,,"KUMAR, S.","ME,TITLE,","LJIT00012",,0,"595",,"UNIQUE BOOK STORE",,"ME,TITLE,",,,
