Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
ELECTRONICS: THEORY AND APPLICATIONS,3,,NEW AGE  INTERNATIONAL ,2005,,,ENGLISH,NEW DELHI ,621.11,,,,KAKANI S L ; Author  BHANDARI K C ; Author,"EC,",01387,,1,245,,UNIQUE BOOK STORE,,"EC,"
A TEXTBOOK ON SIGNAL AND SYSTEMS,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,621.3822,,,,PADMANABHAN K ; Author  ANANTHI S ; Author,"EC,TITLE,",01388,,1,175,,UNIQUE BOOK STORE,,"EC,TITLE,"
WEB TECHNOLOGY AND DESIGN,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,005.72,,,,XAVIER C ; Author,"CE, IT,TITLE,",01389,,1,220,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
COMPREHENSIVE BASIC MATHEMATICS: II,,,NEW AGE  INTERNATIONAL ,2005,,,ENGLISH,NEW DELHI ,510.1,,,,VEENA G R ; Author,"MATHS,TITLE,",01390,,1,245,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
MANUFACTURING TECHNOLOGY,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,670,,,,ADITHAN M ; Author  GUPTA A B ; Author,"ME,TITLE,",01391,,1,200,,UNIQUE BOOK STORE,,"ME,TITLE,"
BASIC AND APPLIED SOIL MECHANICS,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,624.15136,,,,RANJAN GOPAL ; Author  RAO A S R ; Author,"ME,TITLE,",01392,,1,275,,UNIQUE BOOK STORE,,"ME,TITLE,"
AN INTRODUCTION TO ENERGY CONVERSION: BASIC THERMODYNAMICS: I,,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,621.406,,,,KADAMBI V ; Author  PRASAD MANOHAR ; Author,"ME,TITLE,",01393,,1,160,,UNIQUE BOOK STORE,,"ME,TITLE,"
DESIGN OF ELECTRONIC CIRCUITS AND COMPUTER AIDED DESIGN,,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,621.3815,,,,SHAH M M ; Author,"EC,TITLE,",01394,,1,175,,UNIQUE BOOK STORE,,"EC,TITLE,"
EXPERIMENTS IN BASIC ELECTRICAL ENGINEERING,,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,621.319,,,,BHATTACHARYA S K ; Author  RASTOGI K M ; Author,"EC,TITLE,",01395,,1,150,,UNIQUE BOOK STORE,,"EC,TITLE,"
AN INTRODUCTION TO ENERGY CONVERSION: ENERGY CONVERSION: II,,,NEW AGE  INTERNATIONAL ,2002,,,ENGLISH,NEW DELHI ,621.406,,,,KADAMBI V ; Author  PRASAD MANOHAR ; Author,"ME,",01396,,1,160,,UNIQUE BOOK STORE,,"ME,"
GENERAL TOPOLOGY,2,,NEW AGE  INTERNATIONAL ,1999,,,ENGLISH,NEW DELHI ,514.322,,,,MURDESHWAR MANGESH G ; Author,"CE, IT,TITLE,",01397,,1,195,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
STOCHASTIC PROCESSES,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,519.2,,,,MEDHI J ; Author,"GEN,TITLE,",01398,,1,200,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CAD CAM CEM,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,670.285,,,,RADHAKRISHN P ; Author  OTHERS ; Author,"ME,TITLE,",01399,,1,250,,UNIQUE BOOK STORE,,"ME,TITLE,"
COMPUTER SIMULATION OF ELECTRONIC CIRCUITS,,,NEW AGE  INTERNATIONAL ,1990,,,ENGLISH,NEW DELHI ,621.3815,,,,RAGHURAM R ; Author,"EC,TITLE,",01400,,1,195,,UNIQUE BOOK STORE,,"EC,TITLE,"
THE C LANGUAGE TRAINER WITH C GRAPHICS AND C++,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,005.133  ,  ,,,JAYASRI J ; Author,"CE, IT,TITLE,",01401,,1,160  ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
PROGRAMMING IN C,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,005.133,,,,RAVICHANDRAN D ; Author,"CE, IT,TITLE,",01402,,1,175,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
THEORY OF COMPUTATION,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,005.131,,,,NATRAJAN A M ; Author,"CE, IT,TITLE,",01403,,1,195,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
DECISION SUPPORTS SYSTEMS AND DATA WAREHOUSE ,,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,658.403,,,,RAVINDRANATH B ; Author,"CE, IT,TITLE,",01404,,1,120,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
LOGIC AND PROLOG PROGRAMMING,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,005.13,,,,KAUSHIK SAROJ ; Author,"CE, IT,TITLE,",01405,,1,220,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
UNIX IN EASY STEPS,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,005.432,,,,AZAM MOHAMMED ; Author,"CE, IT,TITLE,",01406,,1,120,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
OPERATIONS RESEARCH FOR MANAGEMENT,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,658.4034,,,,SHENOY G V ; Author  OTHERS ; Author,"MANAG,TITLE,",01407,,1,200,,UNIQUE BOOK STORE,,"MANAG,TITLE,"
INFORMATION SYSTEMS ANALYSIS AND DESIGN MODERN APPROACH TO SYSTEMS DEVELOPMENT,,,NEW AGE  INTERNATIONAL ,2005,,,ENGLISH,NEW DELHI ,003,,,,BANSAL RAM 'VIGYACHARYA' ; Author,"CE, IT,",01408,,1,200,,UNIQUE BOOK STORE,,"CE, IT,"
LINEAR PROGRAMMING: METHODS AND APPLICATIONS,2,,NEW AGE  INTERNATIONAL ,1998,,,ENGLISH,NEW DELHI ,519.72,,,,SHENOY G V ; Author,"MATHS,",01409,,1,195,,UNIQUE BOOK STORE,,"MATHS,"
DESIGN OF ELECTRONIC CIRCUITS AND COMPUTER AIDED DESIGN,,,NEW AGE  INTERNATIONAL ,1993,,,ENGLISH,NEW DELHI ,621.3815,,,,SHAH M M ; Author,"EC,",01410,,1,175,,UNIQUE BOOK STORE,,"EC,"
DIGITAL TECHNOLOGY PRINCIPLES AND PRACTICE,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,621.395,,,,KUMAR VIRENDRA ; Author,"EC,",01411,,1,235,,UNIQUE BOOK STORE,,"EC,"
DESIGN AND ANALYSIS OF EXPERIMENTS,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,001.434,,,,DAS M N ; Author  GIRI N C ; Author,"CL,",01412,,1,195,,UNIQUE BOOK STORE,,"CL,"
ELECTRICAL ELECTRONICS AND COMPUTER ENGINEERING FOR SCIENTIST AND ENGINEERING,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,621.0456,,,,KRISHNSMURTHY K A ; Author  RAGHUVEER M R ; Author,"EC,TITLE,",01413,,1,200,,UNIQUE BOOK STORE,,"EC,TITLE,"
OPTIMIZATION METHODS IN OPERATIONS RESEARCH AND SYSTEMS ANALYSIS,3,,NEW AGE  INTERNATIONAL ,1996,,,ENGLISH,NEW DELHI ,519.3011,,,,MITAL K U ; Author  MOHAN C ; Author,"MANAG,TITLE,",01414,,1,195,,UNIQUE BOOK STORE,,"MANAG,TITLE,"
ENTERPRISE RESOURCE PLANNING: A MANAGERIAL AND TECHNICAL PERSPECTIVE,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,658.022,,,,PARTHASARATHY S ; Author,"MANAG,TITLE,",01415,,1,150,,UNIQUE BOOK STORE,,"MANAG,TITLE,"
DIGITAL SYSTEMS FROM GATES TO MICROPROCESSORS,2,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,621.39,,,,BOSE S K ; Author,"EC,",01416,,1,200,,UNIQUE BOOK STORE,,"EC,"
DESIGN OF MICROPROCESSOR BASED SYSTEMS,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,004.16,,,,BANSAL V K ; Author,"CE, IT,TITLE,",01417,,1,165,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
PRACTICAL ENGINEERING DRAWING,,,NEW AGE  INTERNATIONAL ,2000,,,ENGLISH,NEW DELHI ,604.2,,,,MAITRA G M ; Author,"CL,",01418,,1,395,,UNIQUE BOOK STORE,,"CL,"
TELECOMMUNICATION ENGINEERING: LINE COMMUNICATION: I,,,NEW AGE  INTERNATIONAL ,2000,,,ENGLISH,NEW DELHI ,621.3912,,,,DEB N N ; Author,"EC,TITLE,",01419,,1,450,,UNIQUE BOOK STORE,,"EC,TITLE,"
FUNDAMENTALS OF SEMICONDUCTORS: PHYSICS AND MATERIALS PROPERTIES,3,,SPRINGER INTERNATIONAL ,2001,,,ENGLISH,NEW YORK,537.622,,,,YU PETER Y ; Author  CARDONA MANUEL ; Author,"EC,TITLE,",01420,,1,995,,UNIQUE BOOK STORE,,"EC,TITLE,"
ENGINEERING OPTIMIZATION: THEORY AND PRACTICE,3,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,620.0042,,,,RAO SINGIRESU S ; Author,"CE, IT,",01421,,1,295,,UNIQUE BOOK STORE,,"CE, IT,"
PRINCIPLES OF PLASMA MECHANICS,4,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,530.44,,,,CHAKRABORTY BISHWANATH ; Author,"ME,TITLE,",01422,,1,295,,UNIQUE BOOK STORE,,"ME,TITLE,"
STRUCTURAL DESIGN IN STEEL,,,NEW AGE  INTERNATIONAL ,2002,,,ENGLISH,NEW DELHI ,624.1821,,,,RAZ SARWAR ALAM ; Author,"CL,TITLE,",01423,,1,235,,UNIQUE BOOK STORE,,"CL,TITLE,"
"ENGINEERING BASICS, ELECTRICAL ELECTRONICS AND COPUTER ENGINEERING",3,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,621.3,,,,THEAGARAJAN R ; Author  OTHERS ; Author,"EC,TITLE,",01424,,1,200,,UNIQUE BOOK STORE,,"EC,TITLE,"
REINFORCED CONCRETE DESIGN: PRINCIPLES AND PRACTICE,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,624.18341,,,,RAJU KRISHNA N ; Author  PRANESH R N ; Author,"CL,TITLE,",01425,,1,250,,UNIQUE BOOK STORE,,"CL,TITLE,"
ENGINEERING MECHANICS AND ELEMENTS OF CIVIL ENGINEERING,,,NEW AGE  INTERNATIONAL ,2005,,,ENGLISH,NEW DELHI ,620.1,,,,BHAVIKATTI S S ; Author  DUGGAL S K ; Author,"ME,TITLE,",01426,,1,125,,UNIQUE BOOK STORE,,"ME,TITLE,"
BUILDING MATERIALS,2,,NEW AGE  INTERNATIONAL ,2003,,,ENGLISH,NEW DELHI ,691,,,,DUGGAL S K ; Author,"CL,",01427,,1,200,,UNIQUE BOOK STORE,,"CL,"
HANDBOOK OF GEAR TECHNOLOGY,,,NEW AGE  INTERNATIONAL ,2001,,,ENGLISH,NEW DELHI ,621.833,,,,CHAWATHE D D ; Author,"ME,TITLE,",01428,,1,795,,UNIQUE BOOK STORE,,"ME,TITLE,"
SEMICONDUCTOR ELECTRONIC,,,NEW AGE  INTERNATIONAL ,1996,,,ENGLISH,NEW DELHI ,621.3815,,,,SHARMA A K ; Author,"EC,TITLE,",01429,,1,200,,UNIQUE BOOK STORE,,"EC,TITLE,"
NUMERICAL METHODS FOR ENGINEERS ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,004.01515,,,,GUPTA SANTOSH K ; Author,"MATHS,",01430,,1,195,,UNIQUE BOOK STORE,,"MATHS,"
MICROPROCESSOR AND ITS APPLICATION,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,004.16,,,,THEAGARAJAN R ; Author  OTHERS ; Author,"CE, IT,TITLE,",01431,,1,200,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
"ENGINEERING BASICS, ELECTRICAL ELECTRONICS AND COPUTER ENGINEERING   ",3,,NEW AGE  INTERNATIONAL ,2004,,,ENGLISH,NEW DELHI ,621.3   ,   ,,,THEAGARAJAN R ; Author  OTHERS ; Author,"EC,TITLE,",01432,,1,200   ,,UNIQUE BOOK STORE,,"EC,TITLE,"
REVIW OF DIGITAL COMMUNICATION: STATE OF  THE ART IN DIGITAL SIGNALING,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621.382, ,,,DAS J ; Author,"EC,TITLE,",01433,,1,495 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
MICROPROCESSORS INTERFACINGS AND APPLICTIONS ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,004.1665, ,,,SINGH RENU ; Author  SINGH B P ; Author,"CE, IT,",01434,,1,250 ,,UNIQUE BOOK STORE,,"CE, IT,"
PROCEEDINGS OF THE WORKSHOP ON COMPUTER AIDED ENGINEERING AND DESIGN,,,NEW AGE  INTERNATIONAL ,2000,,,ENGLISH,NEW DELHI ,620.00420285, ,,,BROWNE J ; Author,"ME,TITLE,",01435,,1,975 ,,UNIQUE BOOK STORE,,"ME,TITLE,"
ADVANCED MICROPROCESSORS AND MICROCONTROLLERS     ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,004.16,     ,,,SINGH B P ; Author  SINGH RENU   ; Author,"CE, IT,TITLE,",01436,,1,295     ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
FUNDAMENTALS OF ENGINEERING HEAT AND MASS TRANSFER: SI UNITS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621.4022,   ,,,SACHDES R S ; Author,"ME,TITLE,",01437,,1,235   ,,UNIQUE BOOK STORE,,"ME,TITLE,"
THEORY AND ANALYSIS OF SAMPLE SURVEY DESIGNS ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,519.52, ,,,DAROGA S ; Author  CHAUDHARI F S ; Author,"CL,TITLE,",01438,,1,185 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
INTRODUCTION TO STRUCTURAL ANALYSIS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,624.17, ,,,NAUTIYAL B D ; Author,"CL,TITLE,",01439,,1,295 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
ALGORITHMIC LEARNING IN A RANDOM WORLD     ,,,SPRINGER INTERNATIONAL ,,,,ENGLISH,NEW YORK,511.8,     ,,,VOVK VLADIMIR ; Author  OTHERS   ; Author,"MATHS,TITLE,",01440,,1,595     ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
ENGINEERING MATHEMATICS,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,620.00151, ,,,GANGADHARAN A ; Author,"MATHS,TITLE,",01441,,1,200 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
INTRODUCTION TO GENERAL TOPOLOGY ,,,NEW AGE  INTERNATIONAL ,1983,,,ENGLISH,NEW DELHI ,514.322, ,,,JOSHI K D ; Author,"CE, IT,TITLE,",01442,,1,185 ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
THEORY OF AUTOMATA FORMAL LANGUAGES AND COMPUTATION ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,004.015113, ,,,XAVIER S D ; Author  EUGENE ; Author,"CE, IT,TITLE,",01443,,1,140 ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
OPTIMIZATION METHODS IN OPERATIONS RESEARCH AND SYSTEMS ANALYSIS ,,,NEW AGE  INTERNATIONAL ,1996,,,ENGLISH,NEW DELHI ,519.3011, ,,,MITAL K U ; Author  MOHAN C ; Author,"MANAG,",01444,,1,195 ,,UNIQUE BOOK STORE,,"MANAG,"
MATHEMATICAL MODELLING ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,511.8, ,,,KAPUR J N ; Author,"MATHS,",01445,,1,160 ,,UNIQUE BOOK STORE,,"MATHS,"
ELEMENTARY IRRIGATION ENGINEERING ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,627.52, ,,,ASAWA G C ; Author,"CL,",01446,,1,120 ,,UNIQUE BOOK STORE,,"CL,"
FOUNDATIONS OF DISCRETE MATHEMATICS,,,NEW AGE  INTERNATIONAL ,1989,,,ENGLISH,NEW DELHI ,510, ,,,JOSHI K D ; Author,"MATHS,TITLE,",01447,,1,275 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
ENGINEERING MECHANICS,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,620.1, ,,,BHAVKATTI S S ; Author  RAJASHEKAARAPPA K G ; Author,"ME,TITLE,",01448,,1,225 ,,UNIQUE BOOK STORE,,"ME,TITLE,"
CONSTRUCTION PLANNING AND MANAGEMENT,,,NEW AGE  INTERNATIONAL ,2011,,,ENGLISH,NEW DELHI ,624.658, ,,,GAHLOT P S ; Author  DHIR M ; Author,"CL,",01449,,1,125 ,,UNIQUE BOOK STORE,,"CL,"
PRACTICAL ENGINEERING DRAWING ,,,NEW AGE  INTERNATIONAL ,2000,,,ENGLISH,NEW DELHI ,604.2, ,,,MAITRA G M ; Author,"CL,TITLE,",01450,,1,395 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
CONTROL SYSTEMS ,,,NEW AGE  INTERNATIONAL ,2000,,,ENGLISH,NEW DELHI ,629.8, ,,,SINHA NARESH K ; Author,"EC,TITLE,",01451,,1,375 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
LABORATORY MANUAL ON TESTING OF ENGINEERING MATERIALS ,,,NEW AGE  INTERNATIONAL ,2007,,,ENGLISH,NEW DELHI ,620.121, ,,,SOOD H ; Author,"CL,TITLE,",01452,,1,125 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
PROBLEMS AND SOLUTIONS IN ENGINEERING MECHANICS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,620.1, ,,,BHAVIKTTI S S ; Author  HEGDE A VITTAL ; Author,"ME,TITLE,",01453,,1,125 ,,UNIQUE BOOK STORE,,"ME,TITLE,"
NUMERICAL METHODS: PROBLEMS AND SOLUTIONS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,519.4, ,,,JAIN M K ; Author  OTHERS ; Author,"MATHS,TITLE,",01454,,1,200 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
HANDBOOK OF MECHANICAL ENGINEERING TERMS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621, ,,,RAMALINGAM K K ; Author,"ME,",01455,,1,550 ,,UNIQUE BOOK STORE,,"ME,"
THEORY OF MATRICES ,,,NEW AGE  INTERNATIONAL ,1993,,,ENGLISH,NEW DELHI ,512.943, ,,,VATSSA B S ; Author,"GEN,TITLE,",01456,,1,135 ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CONTROL OF MACHINES ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621.89, ,,,BHATTACHARYA S K ; Author  SINGH BRIJINDER ; Author,"ME,TITLE,",01457,,1,175 ,,UNIQUE BOOK STORE,,"ME,TITLE,"
FOUNDATIONS OF INFORMATION TECHNOLOGY,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,004, ,,,YADAV D S ; Author,"CE, IT,TITLE,",01458,,1,225 ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
DIGITAL SYSTEMS FROM GATES TO MICROPROCESSORS,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,621.39, ,,,BOSE S K ; Author,"EC,TITLE,",01459,,1,200 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
IRRIGATION AND WATER RESOURCES ENGINEERING ,,,NEW AGE  INTERNATIONAL ,2011,,,ENGLISH,NEW DELHI ,627.52, ,,,ASAWA G L ; Author,"CL,TITLE,",01460,,1,245 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
ENGINEERING DRAWING AND GRAPHICS ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,604.2, ,,,VENUGOPAL K ; Author,"CL,TITLE,",01461,,1,180 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
GROUND WATER: HYDROGOLOGY GROUNDWATER SURVAY PUMPING TESTING RURAL WATAER SUPPLY AND IRRIGATION SYSTEMS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,551.41, ,,,RAGHUNATH H M ; Author,"CL,TITLE,",01462,,1,450 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
QUESTION BANK ON ELECTRONICS TECHOLOGY ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621.076, ,,,SENGODAN V ; Author  PRASAD M BALAGI ; Author,"EC,TITLE,",01463,,1,195 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
MODERN ALGEBRA ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,512, ,,,VATSSA B S ; Author,"MATHS,TITLE,",01464,,1,175 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
TEXT RETRIEVAL SYSTEMS IN INFORMATION MANAGEMENTS ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,658.3742, ,,,CHOWDHURY G G ; Author,"MANAG,TITLE,",01465,,1,195 ,,UNIQUE BOOK STORE,,"MANAG,TITLE,"
MEASUREMENT OF ENGINEERING PROPERTIES OF SOILS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,696.1, ,,,REDDY E SAIBABA ; Author  SASTRI K RAMA ; Author,"CL,TITLE,",01466,,1,135 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
INTEGRAL CALCULUS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,517.3, ,,,DHAMI H S ; Author,"MATHS,TITLE,",01467,,1,160 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
VECTORS AND GEOMETRY ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,512.5, ,,,PANDEY G S ; Author  SHARMA R P ; Author,"GEN,TITLE,",01468,,1,150 ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
ENGINEERING GEOLOGY PRACTICALS ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,624.151, ,,,REDDY M T ; Author  SHARMA R R ; Author,"CL,TITLE,",01469,,1,85 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
DISCRETE MATHEMATICS ,,,NEW AGE  INTERNATIONAL ,2006,,,ENGLISH,NEW DELHI ,510.10151, ,,,VATSSA B S ; Author,"MATHS,TITLE,",01470,,1,120 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
INDIAN MATHEMATICS AN INTRODUCTION ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,510.50951, ,,,JHUNJHUNWLS ASHOK ; Author,"MATHS,TITLE,",01471,,1,100 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
MECHANICAL MEASUREMENTS,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,681.2, ,,,SIROHI R S ; Author  RADHA KRISHNA H C ; Author,"ME,TITLE,",01472,,1,165 ,,UNIQUE BOOK STORE,,"ME,TITLE,"
LABORATORY MANUAL IN HIGHWAY ENGINEERING ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,625.2, ,,,DUGGAL AJAY K ; Author  PURI VIJAY P ; Author,"CL,TITLE,",01473,,1,100 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
C LANGUAGE AN NUMERICAL METHODS ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,005.133, ,,,XAVIER C ; Author,"CE, IT,TITLE,",01474,,1,270 ,,UNIQUE BOOK STORE,,"CE, IT,TITLE,"
ENGINEERING ENVIRONMENT AND SOCIETY,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,628, ,,,RAMANAN P ; Author,"CL,",01475,,1,160 ,,UNIQUE BOOK STORE,,"CL,"
ELECTRICAL CIRCUIT ANALYSIS,,,NEW AGE  INTERNATIONAL ,2002,,,ENGLISH,NEW DELHI ,621.3192, ,,,XAVIER S P EUGENE ; Author,"EC,TITLE,",01476,,1,225 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
DIGITAL ENGINEERING  ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,621.3815, ,,,GOPAL M ; Author,"EC,TITLE,",01477,,1,220 ,,UNIQUE BOOK STORE,,"EC,TITLE,"
ENVIRONMENTAL POLLUTION: MONITRING AND CONTROL,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,363.73, ,,,KHOPKAR S M ; Author,"CL,TITLE,",01478,,1,225 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
ANALYTICAL METHOD IN STRUCTURAL ENGINEERING ,,,NEW AGE  INTERNATIONAL ,,,,ENGLISH,NEW DELHI ,624.171, ,,,RAZ SARWA ALAM ; Author,"CL,TITLE,",01479,,1,195 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
REMEDICAL MATHEMATICS,,,SHREE SAI PRAKASHAN,,,,ENGLISH, ,510, ,,,AGRAWAL D C ; Author  OTHERS ; Author,"MATHS,TITLE,",01480,,1,170 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
REMEDICAL MATHEMATICS ,,,SHREE SAI PRAKASHAN,,,,ENGLISH,MEERUT,510, ,,,AGRAWAL D C ; Author  OTHERS ; Author,"MATHS,",01481,,1,170 ,,UNIQUE BOOK STORE,,"MATHS,"
ENGINEERING MATHEMATICS ,,,SHREE SAI PRAKASHAN,2007,,,ENGLISH,MEERUT,620.00151, ,,,AGRWAL D C ; Author,"MATHS,TITLE,",01482,,1,236 ,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
ENGINEERING MATHEMATICS ,,,SHREE SAI PRAKASHAN,2007,,,ENGLISH,MEERUT,620.00151, ,,,AGRWAL D C ; Author,"MATHS,",01483,,1,236 ,,UNIQUE BOOK STORE,,"MATHS,"
DISCRETE STRUCTURES ,,,SHREE SAI PRAKASHAN,,,,ENGLISH,MEERUT,519.4, ,,,AGRWAL D C ; Author,"CL,",01484,,1,170 ,,UNIQUE BOOK STORE,,"CL,"
DISCRETE STRUCTURES ,,,SHREE SAI PRAKASHAN,,,,ENGLISH,MEERUT,519.4, ,,,AGRWAL D C ; Author,"CL,TITLE,",01485,,1,170 ,,UNIQUE BOOK STORE,,"CL,TITLE,"
