Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
NATURAL SUPERNATURALISM  ,,,W W NORTON AND COMPANY,2002,,,ENGLISH,NEW YORK,809.914,  ,,,ABRAMS M H ; Author,"GEN,",00032,,1,195  ,,UNIQUE BOOK STORE,,"GEN,"
ANTI OEDIPUS,,,CONTINUUM  ,2005,,,ENGLISH,LONDON,150.1952  ,  ,,,DELEUZE GILLES ; Author  GUATTARI FELIX ; Author,"GEN,TITLE,",00033,,1,325  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
INTRODUCTION OF PHILOSOPHY  ,2,,CONTINUUM  ,2005,,,ENGLISH,LONDON,100  ,  ,,,MARITAIN JACQUES ; Author,"GEN,TITLE,",00034,,1,175  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
DECONSTRUCTION AND CRITICISM,,,CONTINUUM  ,2005,,,ENGLISH,LONDON,801.951  ,  ,,,BLOOM HAROLD ; Author  OTHERS ; Author,"GEN,TITLE,",00035,,1,195  ,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PROBABILITY: THE SCIENCE OF UNCERTAINITY,,,BROOK COLE CENGAGE LEARNING,2001,,,ENGLISH,AUSTRAILIA,519.2,,,,BEAN M A ; Author,"OT,TITLE,",00036,,1,136,,UNIQUE BOOK STORE,,"OT,TITLE,"
THINKING CRITICALLY ABOUT THINKING PHILOSOPHICAL PROBLEMS,,,WADSWORTH,2001,,,ENGLISH,AUSTRALIA,100,,,,WALL T F ; Author,"GEN,TITLE,",00037,,1,648,,UNIQUE BOOK STORE,,"GEN,TITLE,"
SOCIAL AND PERSONAL ETHICS,4,,WADSWORTH,2002,,,ENGLISH,AUSTRALIA,177.4,,,,SHAW W H ; Author,"GEN,TITLE,",00038,,1,600,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PHILOSOPHY OF RELIGION,,,BLACKWELL PUBLICATION,2003,,,ENGLISH,,290.10,,,,TALIAFERRO C ; Author  GRIFFITHS P J ; Author,"GEN,TITLE,",00039,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PHILOSOPHY OF LITERATURE,,,BLACKWELL PUBLICATION,2004,,,ENGLISH,,801,,,,JOHN E ; Author  LOPES D M ; Author,"GEN,TITLE,",00040,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PHILOSOPHY OF EDUCATION,,,BLACKWELL PUBLICATION,2003,,,ENGLISH,,370.1,,,,BLAKE N ; Author  OTHERS ; Author,"GEN,TITLE,",00041,,1,975,,UNIQUE BOOK STORE,,"GEN,TITLE,"
LEARNING TO QUESTION: QUESTIONING TO LEARN,,,ALLYN AND BACON,2001,,,ENGLISH,,373.137,,,,DANTONIO M ; Author  BEISENHERZ P C ; Author,"GEN,",00042,,1,395,,UNIQUE BOOK STORE,,"GEN,"
STUDENT'S GUIDE TO STUDYING PSYCHOLOGY,,,PSYCHOLOGY PRESS,1999,,,ENGLISH,,150,,,,HEFFERNAN T M ; Author,"GEN,TITLE,",00043,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PHILOSOPHY OF SCIENCE,,,MIT PRESS,1991,,,ENGLISH,CAMBRIDGE,500.10,,,,BOYD R ; Author  OTHERS ; Author,"GEN,TITLE,",00044,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PHILOSOPHY,,,BLACKWELL PUBLICATION,2003,,,ENGLISH,,100,,,,GUTTENPLAN S ; Author  OTHERS ; Author,"GEN,TITLE,",00045,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
MASTERING PHILOSOPHY,2,,PALGRAVE FOUNDATIONS,2001,,,ENGLISH,NEW DELHI  ,100,,,,HARRISON BARBET A ; Author,"GEN,",00046,,1,395,,UNIQUE BOOK STORE,,"GEN,"
CONTINENTAL PHILOSOPHY,,,BLACKWELL PUBLICATION,1998,,,ENGLISH,,190,,,,MCNEILL W ; Author  FELDMAN K S ; Author,"GEN,TITLE,",00047,,1,499,,UNIQUE BOOK STORE,,"GEN,TITLE,"
ENCYCLOPEDIA OF WORLD WRITERS,,,VIVA BOOKS PRIVATE LIMITED,2005,,,ENGLISH,NEW DELHI,703,,,,DIAMOND M J ; Author  OTHERS ; Author,"GEN,TITLE,",00048,,1,1295,,UNIQUE BOOK STORE,,"GEN,TITLE,"
INDIAN POETRY  ,,,SAHITYA ACADEMY,2001,,,ENGLISH,NEW DELHI,809.1954,,,,SATCHIDANANDAN K ; Author,"GEN,TITLE,",00049,,1,200,,UNIQUE BOOK STORE,,"GEN,TITLE,"
LITERATURE: THE AMERICAN EXPERIENCE,,,PRENTICE HALL,,,,ENGLISH,NEW DELHI ,808.0910,,,, ; Author,"GEN,TITLE,",00050,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
SUCCESS WITH LANGUAGES,,,ROUTLADGE,2005,,,ENGLISH,LONDON,418,,,,HURD S ; Author  MURPHY L ; Author,"GEN,TITLE,",00051,,1,245,,UNIQUE BOOK STORE,,"GEN,TITLE,"
LEGAL PHILOSOPHY,,,MAYFIELD PUBLISHING COMPANY,1999,,,ENGLISH,LONDON,340.121,,,,MAY L ; Author  OTHERS ; Author,"GEN,TITLE,",00052,,1,400,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FUNDAMENTALS OF PHILOSOPHY,,,ROUTLADGE,2003,,,ENGLISH,LONDON,100,,,,SHAND J ; Author,"GEN,TITLE,",00053,,1,995,,UNIQUE BOOK STORE,,"GEN,TITLE,"
TRUTH AND METHOD,2,,CONTINUUM,2004,,,ENGLISH,LONDON,121,,,,GADAMER H G ; Author,"GEN,TITLE,",00054,,1,395,,UNIQUE BOOK STORE,,"GEN,TITLE,"
INTRODUCTION TO GRAPH THEORY,4,,PEARSON EDUCATION,2005,,,ENGLISH,NEW DELHI,511.5,,,,WILSON R J ; Author,"GEN,TITLE,",00055,,1,210,,UNIQUE BOOK STORE,,"GEN,TITLE,"
LINGUISTIC HERITAGE OF INDIA AND ASIA,,,CENTRAL INSTITUTE OF INDIAN LANGUAGE,2000,,,ENGLISH,ALLAHABAD,410.954,,,,KOUL O N ; Author  DEVAKI L ; Author,"GEN,TITLE,",00056,,1,250,,UNIQUE BOOK STORE,,"GEN,TITLE,"
SAI BABA OF SHIRDI,,,JAICO PUBLICATION HOUSE,2005,,,ENGLISH,MUMBAI  ,291.092954,,,,KAMATH M V ; Author  KHER V B ; Author,"GEN,TITLE,",00057,,1,150,,UNIQUE BOOK STORE,,"GEN,TITLE,"
WARFARE AND WEAPONRY IN SOUTH ASIA 1000 TO 1800,,,OXFORD UNIVERSITY PRESS,2003,,,ENGLISH,NEW DELHI   ,355.020954,,,,GOMMANS J J L ; Author  KOLFF D H A ; Author,"GEN,TITLE,",00058,,1,325,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CONCISE DICTIONARY OF MATHEMATICS,2,,OXFORD UNIVERSITY PRESS,2004,,,ENGLISH,NEW DELHI   ,510.03,,,,CLAPHAM C ; Author,"DICT,",00059,,1,245,,UNIQUE BOOK STORE,,"DICT,"
INDIA STINKING,,,NAVAYANA PUBISHING ,2005,,,ENGLISH,PONDICHEERY,350.0954,,,,RAMASWAMY G ; Author,"GEN,TITLE,",00060,,1,100,,UNIQUE BOOK STORE,,"GEN,TITLE,"
GREAT EXPECTATIONS,,,PEACOCK BOOKS,2004,,,ENGLISH,,823,,,,DICKENS C ; Author,"GEN,TITLE,",00061,,1,80,,UNIQUE BOOK STORE,,"GEN,TITLE,"
WILLIAM SHAKESPEARE: A POPULAR LIFE,,,APPLAUSE,1988,,,ENGLISH,NEW DELHI,822.33,,,,O'CONNOR G ; Author,"GEN,TITLE,",00062,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
BODY LANGUAGE AT WORK,,,HAMLYN PRESS,2003,,,ENGLISH,BATH,302.222,,,,CLAYTON P ; Author,"GEN,TITLE,",00063,,1,365,,UNIQUE BOOK STORE,,"GEN,TITLE,"
COLLECTED PLAYS: I,,,OXFORD UNIVERSITY PRESS,2005,,,ENGLISH,NEW DELHI   ,808.82,,,,KARNAD G ; Author,"GEN,TITLE,",00064,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
COLLECTED PLAYS: II,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI   ,808.82,,,,KARNAD G ; Author,"GEN,",00065,,1,545,,UNIQUE BOOK STORE,,"GEN,"
SENSE AND NONSENSE,,,OXFORD UNIVERSITY PRESS,2003,,,ENGLISH,NEW DELHI   ,155.7,,,,LALAND K N ; Author  BROWN G R ; Author,"GEN,TITLE,",00066,,1,1820,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PRACTICAL APPLIED MATHEMATICS,,,CAMBRIDGE UNIVERSITY PRESS,2006,,,ENGLISH,CAMBRIDGE,519,,,,HOWISON S ; Author,"MATHS,TITLE,",00067,,1,375,,UNIQUE BOOK STORE,,"MATHS,TITLE,"
PROBLEM OF CRIME,2,,,1996,,,ENGLISH,,364.1,,,,MUNCIE J ; Author  MCLAUGHLIN E ; Author,"GEN,TITLE,",00068,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FUNDAMENTALS OF REASONING,4,,WADSWORTH,2002,,,ENGLISH,AUSTRALIA,160,,,,JOHNSON R M ; Author,"GEN,TITLE,",00069,,1,510,,UNIQUE BOOK STORE,,"GEN,TITLE,"
GREAT INDIAN FAMILY,,,PENGUIN BOOKS,2006,,,ENGLISH,NEW DELHI ,306.385954,,,,PRASAD G ; Author,"GEN,TITLE,",00070,,1,295,,UNIQUE BOOK STORE,,"GEN,TITLE,"
FIFTY CONTEMPORARY CHOREOGRAPHERS,,,ROUTLEDGE KEY GUIDES,2000,,,ENGLISH,LONDON,792.82092,,,,BREMSER M ; Author,"GEN,TITLE,",00071,,1,295,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CRITICAL PRACTICE IN HEALTH AND SOCIAL CARE,,,SAGE PUBLICATION,,,,ENGLISH,NEW DELHI,362.10941,,,,BRECHIN A ; Author  OTHERS ; Author,"GEN,TITLE,",00072,,1,395,,UNIQUE BOOK STORE,,"GEN,TITLE,"
OXFORD COMPANION TO INDIAN THEATRE,,,OXFORD UNIVERSITY PRESS,2004,,,ENGLISH,NEW DELHI   ,792.954,,,,LAL A ; Author,"GEN,TITLE,",00073,,1,2500,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CONCEPT OF WORK IN INDIAN SICIETY,,,MANOHAR PUBLICATION,1990,,,ENGLISH,SIMLA,301.954,,,,MODDIE A D ; Author,"GEN,TITLE,",00074,,1,200,,UNIQUE BOOK STORE,,"GEN,TITLE,"
ETHICS CONFLICT AND SECESSIONISM IN SOUTH AND SOUTHEAST ASIA,,,SAGE PUBLICATION,2002,,,ENGLISH,NEW DELHI,954.04,,,,GANGULY R ; Author  MACDUFF I ; Author,"GEN,TITLE,",00075,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
BLACKWELL COMPANION TO PHILOSOPHY,2,,BLACKWELL PUBLICATION,2003,,,ENGLISH,,100,,,,BUNNIN N NAD TSUI JAMES E P ; Author,"GEN,TITLE,",00076,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
HANDBOOK OF INDIAN SOCIOLOGY,,,OXFORD UNIVERSITY PRESS,2004,,,ENGLISH,NEW DELHI   ,301.954,,,,DAS V ; Author,"GEN,TITLE,",00077,,1,695,,UNIQUE BOOK STORE,,"GEN,TITLE,"
MAJOR CLASSICAL SOCIAL THEORISTS,,,BLACKWELL PUBLICATION,2003,,,ENGLISH,,398.27,,,,RITZER G ; Author,"GEN,TITLE,",00078,,1,1640,,UNIQUE BOOK STORE,,"GEN,TITLE,"
OXFORD LANGUAGE REFERENCE: I,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI   ,423.1,,,,LAW J ED ; Author,"GEN,TITLE,",00079,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
OXFORD DICTIONARY OF QUOTATIONS AND PROVERBS: II,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI   ,423,,,,RATCLIFFE S ; Author,"DICT,TITLE,",00080,,1,795,,UNIQUE BOOK STORE,,"DICT,TITLE,"
OXFORD DICTIONARY AND THESAURUS,,,OXFORD UNIVERSITY PRESS,2006,,,ENGLISH,NEW DELHI   ,423,,,,ELLIOTT J ; Author  OTHERS ; Author,"DICT,TITLE,",00081,,1,795,,UNIQUE BOOK STORE,,"DICT,TITLE,"
MODERN AMERICAN DRAMA: 1945 TO 2000,,,CAMBRIDGE UNIVERSITY PRESS,2000,,,ENGLISH,CAMBRIDGE,812.509,,,,BIGSBY C W E ; Author,"GEN,",00082,,1,395,,UNIQUE BOOK STORE,,"GEN,"
HIGHER EDUCATION SOCIAL CHANGE AND NATIONAL DEVELOPMENT,,,INDIAN INSTITUTE OF ADVANCE STUDY PUBLICATION,1975,,,ENGLISH,SIMLA,378.54,,,,KAUL J N ; Author,"GEN,TITLE,",00083,,1,65,,UNIQUE BOOK STORE,,"GEN,TITLE,"
BINODINI,,,SAHITYA ACADEMY,2004,,,ENGLISH,NEW DELHI,823,,,,TAGORE R ; Author,"GEN,TITLE,",00084,,1,90,,UNIQUE BOOK STORE,,"GEN,TITLE,"
LITERARY JOURNALISM,,,WADSWORTH,2001,,,ENGLISH,AUSTRALIA,818.540808,,,,CHANCE J ; Author  MCKEEN W ; Author,"GEN,TITLE,",00085,,1,595,,UNIQUE BOOK STORE,,"GEN,TITLE,"
CRITICAL DICTIONARY OF SOCIOLOGY,,,ROUTLADGE,1989,,,ENGLISH,LONDON,301.03,,,,BOUDON R ; Author  BOURRICAUD F ; Author,"DICT,TITLE,",00086,,1,495,,UNIQUE BOOK STORE,,"DICT,TITLE,"
WAR AND IDEOLOGY,,,ROUTLADGE,1990,,,ENGLISH,LONDON,303.66,,,,CARLTON E ; Author,"GEN,TITLE,",00087,,1,795,,UNIQUE BOOK STORE,,"GEN,TITLE,"
ANCIENT GREEK PHILOSOPHY,,,LONGMAN PEARSON EDUCATION,2006,,,ENGLISH,,170,,,,TANKHA V ; Author,"GEN,TITLE,",00088,,1,499,,UNIQUE BOOK STORE,,"GEN,TITLE,"
OPPENHEIM'S INTERNATIONAL LAW: I,9,,PEARSON EDUCATION,2003,,,ENGLISH,NEW DELHI,341.1,,,,JENNINGS R ; Author  WATTS A ; Author,"GEN,",00089,,1,495,,UNIQUE BOOK STORE,,"GEN,"
OPPENHEIM'S INTERNATIONAL LAW: I,9,,PEARSON EDUCATION,2003,,,ENGLISH,NEW DELHI,341.1,,,,JENNINGS R ; Author  WATTS A ; Author,"GEN,TITLE,",00090,,1,495,,UNIQUE BOOK STORE,,"GEN,TITLE,"
PRINCIPLES OF LITERARY CRITICISM,,,UNIVERSAL BOOK STALL,,,,ENGLISH,NEW DELHI,801.95,,,,RICHARDS I A ; Author,"GEN,TITLE,",00091,,1,75,,UNIQUE BOOK STORE,,"GEN,TITLE,"
