"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","000000002",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","000000022",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
