"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach","Author","Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"ADVANCED COMPILER DESIGN IMPLEMENTATION  ",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA  ","005.453  ",,,,"MUCHNICK, S, S.  ","CE, IT,  ","LJIT00001",,1,"525  ",,"UNIQUE BOOK STORE",,"CE, IT,  ",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00002",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00003",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00004",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00005",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"ARTIFICIAL INTELLIGENCE: A NEW SYNTHESIS",,,"MORGAN KAUFMANN PUBLISHER",2012,,,"ENGLISH","HARIYANA","006.3",,,,"NILSSON, N, J.","CE, IT,","LJIT00006",,1,"450",,"UNIQUE BOOK STORE",,"CE, IT,",,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00007",,1,"500",,"UNIQUE BOOK STORE",,"ME,",,,
"MODERN REFRIGERATION AND AIRCONDITIONING FOR ENGINEERS",,,"KHANNA BOOK PUBLICATION COMPANY",2012,,,"ENGLISH","NEW DELHI ","621.56",,,,"DESAI, P, S.","ME,","LJIT00008",,1,"500",,"UNIQUE BOOK STORE",,"ME,",,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,TITLE,","LJIT00009",,1,"560",,"UNIQUE BOOK STORE",,"ME,TITLE,",,,
"POWER PLANT TECHNOLOGY",,,"TATA MCGRAW HILL",2010,,,"ENGLISH","NEW DELHI","621.483",,,,"WAKIL, M, M, E.","ME,","LJIT00010",,1,"560",,"UNIQUE BOOK STORE",,"ME,",,,
"MEN OF MATHEMATICS: THE LIVES AND ACHIEVEMENTS OF THE GREAT MATHEMATICIANS FROM ZENO T POINCARE",,,"SIMON AND SCHUSTER",1986,,,"ENGLISH","NEW YORK","510.922",,,,"BELL, E, T.","MATHS,","LJIT00011",,1,"499",,"UNIQUE BOOK STORE",,"MATHS,",,,
"FLUID MECHANICS: BASIC CONCEPTS AND PRINCIPLES",2,,"ANE BOOKS PVT LTD",2011,,,"ENGLISH","NEW DELHI","620.106",,,,"KUMAR, S.","ME,TITLE,","LJIT00012",,1,"595",,"UNIQUE BOOK STORE",,"ME,TITLE,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00013",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00014",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00015",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00016",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00017",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00018",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00019",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00020",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00021",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"A TEXTBOOK OF INTERNAL COMBUSTION ENGINES",2,,"LAXMI PUBLICATION LTD ",2013,,,"ENGLISH","NEW DELHI","621.43",,,,"RAJPUT, R, K.","ME,","LJIT00022",,1,"625",,"UNIQUE BOOK STORE",,"ME,",,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,TITLE,","LJIT00023",,1,"330",,"UNIQUE BOOK STORE",,"CE, IT,TITLE,",,,
"INTRODUCTION TO C PROGRAMMING ",,,"OXFORD UNIVERSITY PRESS",2012,,,"ENGLISH","NEW DELHI   ","005.133",,,,"THAREJA, R.","CE, IT,","LJIT00024",,1,"330",,"UNIQUE BOOK STORE",,"CE, IT,",,,
