Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency
The World Book Student Discovery Encyclopedia M,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000029,English,Chicago,30,,,,,Encyclopedia,A000029,,,1790,,Indigo Direct Marketing Ltd,,,,,
The World Book Student Dicovery Encyclopedia N O,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000030,English,Chicago,30,,,,,Encyclopedia,A000030,,,1790,,Indigo Direct Marketing Ltd,,,,,
The World Book Student Discovery Encyclopedia PQR,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000031,English,Chicago,30,,,,,Encyclopedia,A000031,,,1790,,Indigo Direct Marketing Ltd,,,,,
THe World Book Student Discovery Encyclopedia S,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000032,English,Chicago,30,,,,,"Value Education, Encyclopedia",A000032,,,1790,,Indigo Direct Marketing Ltd,,,,,
The World Book Student Discovery Encyclopedia TU,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000033,English,Chicago,30,,,,,"Value Education, Encyclopedia",A000033,,,1790,,Indigo Direct Marketing Ltd,,,,,
The World Book Student Discovery Encyclopedia VWXY,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000034,English,Chicago,30,,,,,"Value Education, Moral Education, Encyclopedia",A000034,,,1790,,Indigo Direct Marketing Ltd,,,,,
The World Book Student Discovery Encyclopedia Index,,0-7166-7413-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Student Discovery Encyclopedia,A000035,English,Chicago,30,,,,,"Moral Education, Encyclopedia",A000035,,,1790,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Afghanistan To Belguim,,0-7166-7900-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Encyclopedia,A000036,English,Chicago,30,,,,,"Art and Craft, Science, Encyclopedia",A000036,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Belize To Canada,,0-7166-7900-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Encyclopedia,A000037,English,Chicago,30,,,,,"Science, Encyclopedia",A000037,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Cope Verde To Equatorial Guinea,,0-7166-7900-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Encyclopedia,A000038,English,Chicago,30,,,,,"Value Education, Encyclopedia",A000038,,,1810,,Indigo Direct Marketing Ltd,,,,,
Encyclopedia Of Flags Eritrea To Ireland,,0-7166-7900-0,World Book Inc. A Scott fetzer Compony,2007,The World Book Encyclopedia,A000039,English,Chicago,30,,,,,"Value Education, Encyclopedia",A000039,,,1810,,Indigo Direct Marketing Ltd,,,,,
