_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
996741,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374290,Unit,"{""name"":""Number System"",""curriculum_id"":""66"",""unitId"":""1""}"
996742,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374291,Unit,"{""name"":""Algebra"",""curriculum_id"":""66"",""unitId"":""2""}"
996743,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374292,Unit,"{""name"":""Coordinate Geometry"",""curriculum_id"":""66"",""unitId"":""3""}"
996744,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374293,Unit,"{""name"":""Geometry"",""curriculum_id"":""66"",""unitId"":""4""}"
996745,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374294,Unit,"{""name"":""Mensuration"",""curriculum_id"":""66"",""unitId"":""5""}"
996746,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374295,Unit,"{""name"":""Statistics and Probability"",""curriculum_id"":""66"",""unitId"":""6""}"
