_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
976003,29634,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2230"",""name"":""CBSE-5"",""stId"":""2230"",""short_name"":""5""}",374452,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE"",""subId"":""3971"",""standard_id"":""2226""}"
976004,29635,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2231"",""name"":""CBSE-6"",""stId"":""2231"",""short_name"":""6""}",374452,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE"",""subId"":""3971"",""standard_id"":""2226""}"
976005,29636,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2232"",""name"":""CBSE-7"",""stId"":""2232"",""short_name"":""7""}",374452,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE"",""subId"":""3971"",""standard_id"":""2226""}"
976006,29637,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2233"",""name"":""CBSE-8"",""stId"":""2233"",""short_name"":""8""}",374452,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE"",""subId"":""3971"",""standard_id"":""2226""}"
976007,29630,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2226"",""name"":""CBSE-1"",""stId"":""2226"",""short_name"":""1""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976008,29631,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2227"",""name"":""Standard 2227"",""stId"":""2227"",""short_name"":""2""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976009,29632,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2228"",""name"":""Standard 2228"",""stId"":""2228"",""short_name"":""3""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976010,29633,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2229"",""name"":""Standard 2229"",""stId"":""2229"",""short_name"":""4""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976011,29634,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2230"",""name"":""CBSE-5"",""stId"":""2230"",""short_name"":""5""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976012,29635,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2231"",""name"":""CBSE-6"",""stId"":""2231"",""short_name"":""6""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976013,29636,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2232"",""name"":""CBSE-7"",""stId"":""2232"",""short_name"":""7""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976014,29637,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2233"",""name"":""CBSE-8"",""stId"":""2233"",""short_name"":""8""}",374453,Subject,"{""sub_institute_id"":""195"",""display_name"":""SOCIAL SCIENCE"",""subId"":""3972"",""standard_id"":""2226""}"
976015,29630,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2226"",""name"":""CBSE-1"",""stId"":""2226"",""short_name"":""1""}",374454,Subject,"{""sub_institute_id"":""195"",""display_name"":""abc"",""subId"":""3973"",""standard_id"":""2226""}"
976016,163721,Standard,"{""sub_institute_id"":""1"",""standard_id"":""39"",""name"":""Standard 39"",""stId"":""39"",""short_name"":""C-6""}",374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}"
976017,163722,Standard,"{""sub_institute_id"":""1"",""standard_id"":""40"",""name"":""Standard 40"",""stId"":""40"",""short_name"":""C-7""}",374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}"
976018,163723,Standard,"{""sub_institute_id"":""1"",""standard_id"":""41"",""name"":""Standard 41"",""stId"":""41"",""short_name"":""C-8""}",374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}"
976019,163721,Standard,"{""sub_institute_id"":""1"",""standard_id"":""39"",""name"":""Standard 39"",""stId"":""39"",""short_name"":""C-6""}",374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}"
976020,163722,Standard,"{""sub_institute_id"":""1"",""standard_id"":""40"",""name"":""Standard 40"",""stId"":""40"",""short_name"":""C-7""}",374456,Subject,"{""sub_institute_id"":""1"",""display_name"":""Mathematics"",""subId"":""3976"",""standard_id"":""39""}"
976021,163721,Standard,"{""sub_institute_id"":""1"",""standard_id"":""39"",""name"":""Standard 39"",""stId"":""39"",""short_name"":""C-6""}",374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}"
976022,163722,Standard,"{""sub_institute_id"":""1"",""standard_id"":""40"",""name"":""Standard 40"",""stId"":""40"",""short_name"":""C-7""}",374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}"
976023,163723,Standard,"{""sub_institute_id"":""1"",""standard_id"":""41"",""name"":""Standard 41"",""stId"":""41"",""short_name"":""C-8""}",374457,Subject,"{""sub_institute_id"":""1"",""display_name"":""English "",""subId"":""3978"",""standard_id"":""39""}"
976024,163721,Standard,"{""sub_institute_id"":""1"",""standard_id"":""39"",""name"":""Standard 39"",""stId"":""39"",""short_name"":""C-6""}",374458,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi-A Vasant-1"",""subId"":""3977"",""standard_id"":""39""}"
976025,163722,Standard,"{""sub_institute_id"":""1"",""standard_id"":""40"",""name"":""Standard 40"",""stId"":""40"",""short_name"":""C-7""}",374458,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi-A Vasant-1"",""subId"":""3977"",""standard_id"":""39""}"
976026,163723,Standard,"{""sub_institute_id"":""1"",""standard_id"":""41"",""name"":""Standard 41"",""stId"":""41"",""short_name"":""C-8""}",374458,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi-A Vasant-1"",""subId"":""3977"",""standard_id"":""39""}"
976027,163723,Standard,"{""sub_institute_id"":""1"",""standard_id"":""41"",""name"":""Standard 41"",""stId"":""41"",""short_name"":""C-8""}",374459,Subject,"{""sub_institute_id"":""1"",""display_name"":""English Grammar"",""subId"":""3979"",""standard_id"":""41""}"
976028,163721,Standard,"{""sub_institute_id"":""1"",""standard_id"":""39"",""name"":""Standard 39"",""stId"":""39"",""short_name"":""C-6""}",374460,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi Grammar"",""subId"":""3980"",""standard_id"":""39""}"
976029,163722,Standard,"{""sub_institute_id"":""1"",""standard_id"":""40"",""name"":""Standard 40"",""stId"":""40"",""short_name"":""C-7""}",374460,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi Grammar"",""subId"":""3980"",""standard_id"":""39""}"
976030,163723,Standard,"{""sub_institute_id"":""1"",""standard_id"":""41"",""name"":""Standard 41"",""stId"":""41"",""short_name"":""C-8""}",374460,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi Grammar"",""subId"":""3980"",""standard_id"":""39""}"
976031,29637,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2233"",""name"":""CBSE-8"",""stId"":""2233"",""short_name"":""8""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
976032,29638,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2234"",""name"":""CBSE-9"",""stId"":""2234"",""short_name"":""9""}",374451,Subject,"{""sub_institute_id"":""195"",""display_name"":""MATHEMATICS"",""subId"":""3970"",""standard_id"":""2226""}"
976033,29639,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2235"",""name"":""Standard 2235"",""stId"":""2235"",""short_name"":""10""}",374451,Subject,"{""sub_institute_id"":""195"",""display_name"":""MATHEMATICS"",""subId"":""3970"",""standard_id"":""2226""}"
976034,29641,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2237"",""name"":""CBSE-11 Sci"",""short_name"":""11 Sci."",""stId"":""2237""}",374451,Subject,"{""sub_institute_id"":""195"",""display_name"":""MATHEMATICS"",""subId"":""3970"",""standard_id"":""2226""}"
976035,29643,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2268"",""name"":""CBSE-12 Sci"",""short_name"":""12 Sci."",""stId"":""2268""}",374451,Subject,"{""sub_institute_id"":""195"",""display_name"":""MATHEMATICS"",""subId"":""3970"",""standard_id"":""2226""}"
976036,29641,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2237"",""name"":""CBSE-11 Sci"",""short_name"":""11 Sci."",""stId"":""2237""}",374461,Subject,"{""sub_institute_id"":""195"",""display_name"":""PHYSICS (042)"",""subId"":""4020"",""standard_id"":""2237""}"
976037,29643,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2268"",""name"":""CBSE-12 Sci"",""short_name"":""12 Sci."",""stId"":""2268""}",374461,Subject,"{""sub_institute_id"":""195"",""display_name"":""PHYSICS (042)"",""subId"":""4020"",""standard_id"":""2237""}"
976038,29639,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2235"",""name"":""Standard 2235"",""stId"":""2235"",""short_name"":""10""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
976039,29637,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2233"",""name"":""CBSE-8"",""stId"":""2233"",""short_name"":""8""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
976040,29636,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2232"",""name"":""CBSE-7"",""stId"":""2232"",""short_name"":""7""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
976041,29635,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2231"",""name"":""CBSE-6"",""stId"":""2231"",""short_name"":""6""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
976042,29634,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2230"",""name"":""CBSE-5"",""stId"":""2230"",""short_name"":""5""}",374450,Subject,"{""sub_institute_id"":""195"",""display_name"":""HINDI"",""subId"":""3969"",""standard_id"":""2226""}"
976043,29639,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2235"",""name"":""Standard 2235"",""stId"":""2235"",""short_name"":""10""}",374449,Subject,"{""sub_institute_id"":""195"",""display_name"":""ENGLISH (184)"",""subId"":""3967"",""standard_id"":""2226""}"
976044,29638,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2234"",""name"":""CBSE-9"",""stId"":""2234"",""short_name"":""9""}",374462,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE (086)"",""subId"":""4018"",""standard_id"":""2234""}"
976045,29639,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2235"",""name"":""Standard 2235"",""stId"":""2235"",""short_name"":""10""}",374462,Subject,"{""sub_institute_id"":""195"",""display_name"":""SCIENCE (086)"",""subId"":""4018"",""standard_id"":""2234""}"
976046,29642,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2267"",""name"":""CBSE-12 Com"",""short_name"":""12 Com."",""stId"":""2267""}",374463,Subject,"{""sub_institute_id"":""195"",""display_name"":""BUSINESS STUDIES (054)"",""subId"":""4080"",""standard_id"":""2267""}"
976047,29641,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2237"",""name"":""CBSE-11 Sci"",""short_name"":""11 Sci."",""stId"":""2237""}",374464,Subject,"{""sub_institute_id"":""195"",""display_name"":""CHEMISTRY (043)"",""subId"":""4021"",""standard_id"":""2237""}"
976048,29643,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2268"",""name"":""CBSE-12 Sci"",""short_name"":""12 Sci."",""stId"":""2268""}",374464,Subject,"{""sub_institute_id"":""195"",""display_name"":""CHEMISTRY (043)"",""subId"":""4021"",""standard_id"":""2237""}"
976049,29641,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2237"",""name"":""CBSE-11 Sci"",""short_name"":""11 Sci."",""stId"":""2237""}",374465,Subject,"{""sub_institute_id"":""195"",""display_name"":""BIOLOGY (044)"",""subId"":""4022"",""standard_id"":""2237""}"
976050,29643,Standard,"{""sub_institute_id"":""195"",""standard_id"":""2268"",""name"":""CBSE-12 Sci"",""short_name"":""12 Sci."",""stId"":""2268""}",374465,Subject,"{""sub_institute_id"":""195"",""display_name"":""BIOLOGY (044)"",""subId"":""4022"",""standard_id"":""2237""}"
976051,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374466,Subject,"{""sub_institute_id"":""1"",""display_name"":""Art & Craft Activities"",""subId"":""4027"",""standard_id"":""2272""}"
976052,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374467,Subject,"{""sub_institute_id"":""1"",""display_name"":""Collection"",""subId"":""4031"",""standard_id"":""2272""}"
976053,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374468,Subject,"{""sub_institute_id"":""1"",""display_name"":""Educational"",""subId"":""4035"",""standard_id"":""2272""}"
976054,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374469,Subject,"{""sub_institute_id"":""1"",""display_name"":""Educational Activities"",""subId"":""4036"",""standard_id"":""2272""}"
976055,163732,Standard,"{""sub_institute_id"":""1"",""standard_id"":""2272"",""name"":""Hobbies and Activities"",""short_name"":""Hobbies and Activities"",""stId"":""2272""}",374470,Subject,"{""sub_institute_id"":""1"",""display_name"":""General"",""subId"":""4040"",""standard_id"":""2272""}"
