_neo4jInternalId,displayLabel,display_name,sort_order,standard_id,subId,sub_institute_id
374584,"Subject:Social Awareness","Social Awareness",3,34,5072,1
374585,"Subject:Responsible Decision Making","Responsible Decision Making",4,34,5109,1
374586,"Subject:Relationship Skills","Relationship Skills",5,34,5153,1
374587,"Subject:English Practice Book","English Practice Book",55,2223,5172,195
374588,"Subject:Mathematics Practice Book","Mathematics Practice Book",56,2223,5173,195
374589,"Subject:General Awarness Primer","General Awarness Primer",57,2223,5174,195
374590,"Subject:General Awarness Practice book","General Awarness Practice book",58,2223,5175,195
374591,"Subject:Hindi Aksharmala","Hindi Aksharmala",70,2225,5184,195
374592,"Subject:Personal Social","Personal Social",1,40,5264,1
374593,"Subject:Career Development Education","Career Development Education",2,40,5265,1
374594,"Subject:Academic College and Career Planning","Academic College and Career Planning",3,40,5266,1
374595,"Subject:Health and Physical Education","Health and Physical Education",1,42,5333,1
374596,Subject:ICT,ICT,2,42,5334,1
374597,"Subject:PSYCHOLOGY (037)","PSYCHOLOGY (037)",60,2237,5359,195
374598,Subject:FOOD,FOOD,8,2231,5408,195
