_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
979989,156124,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5718"",""chapter_name"":""3. CLASSIFICATION OF ELEMENTS AND PERIODICITY IN PROPERTIES""}",375232,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""577"",""chapter_id"":""5718"",""subject_id"":""4119"",""standard_id"":""44""}"
979990,156123,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5717"",""chapter_name"":""4. CHEMICAL BONDING AND MOLECULAR STRUCTURE""}",375233,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""578"",""chapter_id"":""5717"",""subject_id"":""4119"",""standard_id"":""44""}"
979991,156127,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5721"",""chapter_name"":""5. STATES OF MATTER""}",375234,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""579"",""chapter_id"":""5721"",""subject_id"":""4119"",""standard_id"":""44""}"
979992,156120,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5714"",""chapter_name"":""6. THERMODYNAMICS""}",375235,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""580"",""chapter_id"":""5714"",""subject_id"":""4119"",""standard_id"":""44""}"
979993,156121,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5715"",""chapter_name"":""7. EQUILIBRIUM""}",375236,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""581"",""chapter_id"":""5715"",""subject_id"":""4119"",""standard_id"":""44""}"
979994,156122,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5716"",""chapter_name"":""8. REDOX REACTIONS""}",375237,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""582"",""chapter_id"":""5716"",""subject_id"":""4119"",""standard_id"":""44""}"
979995,156119,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5713"",""chapter_name"":""9. HYDROGEN""}",375238,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""583"",""chapter_id"":""5713"",""subject_id"":""4119"",""standard_id"":""44""}"
979996,156129,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5723"",""chapter_name"":""10. THE S-BLOCK ELEMENTS""}",375239,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""584"",""chapter_id"":""5723"",""subject_id"":""4119"",""standard_id"":""44""}"
979997,156131,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5725"",""chapter_name"":""11. P-BLOCK ELEMENTS""}",375240,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""585"",""chapter_id"":""5725"",""subject_id"":""4119"",""standard_id"":""44""}"
979998,156128,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5722"",""chapter_name"":""12. ORGANIC CHEMISTRY SOME BASIC PRINCIPLES AND TECHNIQUES""}",375241,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""586"",""chapter_id"":""5722"",""subject_id"":""4119"",""standard_id"":""44""}"
979999,156130,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5724"",""chapter_name"":""13. HYDROCARBONS""}",375242,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""587"",""chapter_id"":""5724"",""subject_id"":""4119"",""standard_id"":""44""}"
980000,156126,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4119"",""chId"":""5720"",""chapter_name"":""14. ENVIRONMENTAL CHEMISTRY""}",375243,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""588"",""chapter_id"":""5720"",""subject_id"":""4119"",""standard_id"":""44""}"
980001,156105,Chapter,"{""sub_institute_id"":""1"",""standard_id"":""44"",""subject_id"":""4472"",""chId"":""5699"",""chapter_name"":""1. Introduction""}",375244,Lesson,"{""sub_institute_id"":""1"",""lessonId"":""589"",""chapter_id"":""5699"",""subject_id"":""4472"",""standard_id"":""44""}"
