_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps,database_type
232,700,Result,"{""question_paper_id"":""5706"",""student_id"":""100239"",""resultId"":""175000""}",699,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5706""}",
237,702,Result,"{""question_paper_id"":""5707"",""student_id"":""100239"",""resultId"":""175001""}",701,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""40"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5707""}",
242,704,Result,"{""question_paper_id"":""5708"",""student_id"":""0"",""resultId"":""175002""}",703,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""0"",""standard_id"":""0"",""grade_id"":""0"",""assId"":""5708""}",
245,706,Result,"{""question_paper_id"":""5709"",""student_id"":""0"",""resultId"":""175003""}",705,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""0"",""standard_id"":""0"",""grade_id"":""0"",""assId"":""5709""}",
248,708,Result,"{""question_paper_id"":""5710"",""student_id"":""0"",""resultId"":""175004""}",707,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""1"",""standard_id"":""1"",""paper_name"":""test"",""grade_id"":""0"",""assId"":""5710""}",
251,710,Result,"{""question_paper_id"":""5718"",""student_id"":""100239"",""resultId"":""177466""}",709,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5718""}",
256,712,Result,"{""question_paper_id"":""5711"",""student_id"":""0"",""resultId"":""175005""}",711,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""0"",""standard_id"":""0"",""grade_id"":""0"",""assId"":""5711""}",
259,714,Result,"{""question_paper_id"":""5712"",""student_id"":""0"",""resultId"":""175006""}",713,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""3975"",""standard_id"":""43"",""grade_id"":""0"",""assId"":""5712""}",
262,716,Result,"{""question_paper_id"":""5713"",""student_id"":""0"",""resultId"":""175007""}",715,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""3975"",""standard_id"":""43"",""paper_name"":""test 2026-06-24"",""grade_id"":""0"",""assId"":""5713""}",
266,718,Result,"{""question_paper_id"":""5714"",""student_id"":""0"",""resultId"":""175008""}",717,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""3975"",""standard_id"":""43"",""paper_name"":""test 2026-06-24"",""grade_id"":""0"",""assId"":""5714""}",
272,722,Result,"{""question_paper_id"":""5715"",""student_id"":""0"",""resultId"":""175009""}",721,Assessment,"{""sub_institute_id"":""0"",""subject_id"":""3975"",""standard_id"":""43"",""paper_name"":""test 2026-06-24"",""grade_id"":""0"",""assId"":""5715""}",
276,724,Result,"{""question_paper_id"":""5725"",""student_id"":""100239"",""resultId"":""177705""}",723,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5725""}",
281,726,Result,"{""question_paper_id"":""5726"",""student_id"":""97382"",""resultId"":""177754""}",725,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5726""}",
293,732,Result,"{""question_paper_id"":""5728"",""student_id"":""100239"",""resultId"":""177883""}",731,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5728""}",
298,734,Result,"{""question_paper_id"":""5755"",""student_id"":""100239"",""resultId"":""179115""}",733,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5755""}",
303,736,Result,"{""question_paper_id"":""5756"",""student_id"":""100239"",""resultId"":""179116""}",735,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5756""}",
308,738,Result,"{""question_paper_id"":""5757"",""student_id"":""100239"",""resultId"":""179117""}",737,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5757""}",
316,740,Result,"{""question_paper_id"":""5758"",""student_id"":""100239"",""resultId"":""179118""}",739,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5758""}",
321,742,Result,"{""question_paper_id"":""5759"",""student_id"":""100239"",""resultId"":""179119""}",741,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5759""}",
326,744,Result,"{""question_paper_id"":""5760"",""student_id"":""100239"",""resultId"":""179120""}",743,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5760""}",
331,746,Result,"{""question_paper_id"":""5768"",""student_id"":""100239"",""resultId"":""179254""}",745,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5768""}",
336,748,Result,"{""question_paper_id"":""5769"",""student_id"":""100239"",""resultId"":""179357""}",747,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5769""}",
341,750,Result,"{""question_paper_id"":""5770"",""student_id"":""100239"",""resultId"":""179438""}",749,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5770""}",
346,752,Result,"{""question_paper_id"":""5772"",""student_id"":""106287"",""resultId"":""179547""}",751,Assessment,"{""sub_institute_id"":""195"",""subject_id"":""3972"",""standard_id"":""2229"",""paper_name"":""PAL Test"",""grade_id"":""562"",""assId"":""5772""}",
358,754,Result,"{""question_paper_id"":""5773"",""student_id"":""100239"",""resultId"":""179588""}",753,Assessment,"{""sub_institute_id"":""1"",""subject_id"":""3975"",""standard_id"":""39"",""paper_name"":""PAL Test"",""grade_id"":""11"",""assId"":""5773""}",
979470,196558,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""20868""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979471,196559,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""20869""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979472,196560,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""20870""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979473,197357,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""21675""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979474,197358,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""21676""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
979475,197362,Result,"{""question_paper_id"":""1388"",""student_id"":""97382"",""resultId"":""21680""}",374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",
