_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
996682,386459,Curriculum,"{""curriculum_name"":""Economics"",""sub_institute_id"":""1"",""curriculumId"":""47"",""subject_id"":""4472"",""standard_id"":""44""}",374571,Subject,"{""sub_institute_id"":""1"",""display_name"":""Economics"",""subId"":""4472"",""standard_id"":""42""}"
996683,386460,Curriculum,"{""curriculum_name"":""Business Studies"",""sub_institute_id"":""1"",""curriculumId"":""48"",""standard_id"":""44"",""subject_id"":""4483""}",374576,Subject,"{""sub_institute_id"":""1"",""display_name"":""Business Studies"",""subId"":""4483"",""standard_id"":""45""}"
996684,386461,Curriculum,"{""curriculum_name"":""Physics"",""sub_institute_id"":""1"",""curriculumId"":""49"",""subject_id"":""3975"",""standard_id"":""45""}",374455,Subject,"{""sub_institute_id"":""1"",""display_name"":""Science"",""subId"":""3975"",""standard_id"":""39""}"
996685,386462,Curriculum,"{""curriculum_name"":""Chemistry"",""sub_institute_id"":""1"",""curriculumId"":""50"",""subject_id"":""4119"",""standard_id"":""45""}",374544,Subject,"{""sub_institute_id"":""1"",""display_name"":""Chemistry"",""subId"":""4119"",""standard_id"":""2305""}"
996686,386463,Curriculum,"{""curriculum_name"":""Biology"",""sub_institute_id"":""1"",""curriculumId"":""51"",""subject_id"":""4106"",""standard_id"":""45""}",374572,Subject,"{""sub_institute_id"":""1"",""display_name"":""Biology"",""subId"":""4106"",""standard_id"":""45""}"
996687,386464,Curriculum,"{""curriculum_name"":""History"",""sub_institute_id"":""1"",""curriculumId"":""52"",""subject_id"":""4480"",""standard_id"":""45""}",374573,Subject,"{""sub_institute_id"":""1"",""display_name"":""History"",""subId"":""4480"",""standard_id"":""45""}"
996688,386465,Curriculum,"{""curriculum_name"":""Geography"",""sub_institute_id"":""1"",""curriculumId"":""53"",""subject_id"":""4481"",""standard_id"":""45""}",374574,Subject,"{""sub_institute_id"":""1"",""display_name"":""Geography"",""subId"":""4481"",""standard_id"":""45""}"
996689,386466,Curriculum,"{""curriculum_name"":""Computer Science"",""sub_institute_id"":""1"",""curriculumId"":""54"",""standard_id"":""45"",""subject_id"":""4046""}",374485,Subject,"{""sub_institute_id"":""1"",""display_name"":""IT & Computer"",""subId"":""4046"",""standard_id"":""2269""}"
996690,386467,Curriculum,"{""curriculum_name"":""Informatics Practices"",""sub_institute_id"":""1"",""curriculumId"":""55"",""standard_id"":""45"",""subject_id"":""4044""}",374502,Subject,"{""sub_institute_id"":""1"",""display_name"":""Information technology"",""subId"":""4044"",""standard_id"":""2271""}"
996691,386468,Curriculum,"{""curriculum_name"":""Accountancy"",""sub_institute_id"":""1"",""curriculumId"":""56"",""subject_id"":""4482"",""standard_id"":""45""}",374575,Subject,"{""sub_institute_id"":""1"",""display_name"":""Accountancy"",""subId"":""4482"",""standard_id"":""45""}"
996692,386469,Curriculum,"{""curriculum_name"":""Economics"",""sub_institute_id"":""1"",""curriculumId"":""57"",""subject_id"":""4472"",""standard_id"":""45""}",374571,Subject,"{""sub_institute_id"":""1"",""display_name"":""Economics"",""subId"":""4472"",""standard_id"":""42""}"
996693,386470,Curriculum,"{""curriculum_name"":""Business Studies"",""sub_institute_id"":""1"",""curriculumId"":""58"",""standard_id"":""45"",""subject_id"":""4483""}",374576,Subject,"{""sub_institute_id"":""1"",""display_name"":""Business Studies"",""subId"":""4483"",""standard_id"":""45""}"
996694,373952,Curriculum,"{""curriculum_name"":""CBSE Mathematics Curriculum 2026"",""sub_institute_id"":""1"",""curriculumId"":""66"",""standard_id"":""41"",""subject_id"":""3977""}",374458,Subject,"{""sub_institute_id"":""1"",""display_name"":""Hindi-A Vasant-1"",""subId"":""3977"",""standard_id"":""39""}"
